country,year,sex,list,cause,cdr
GBRTENW,2001,1,interm,0,9878
GBRTENW,2001,1,interm,1,10
GBRTENW,2001,1,interm,2,1
GBRTENW,2001,1,interm,3,9
GBRTENW,2001,1,interm,4,32
GBRTENW,2001,1,interm,5,7
GBRTENW,2001,1,interm,6,5
GBRTENW,2001,1,interm,7,5
GBRTENW,2001,1,interm,8,5
GBRTENW,2001,1,interm,9,6
GBRTENW,2001,1,interm,10,43
GBRTENW,2001,1,interm,11,154
GBRTENW,2001,1,interm,12,137
GBRTENW,2001,1,interm,13,188
GBRTENW,2001,1,interm,14,105
GBRTENW,2001,1,interm,15,46
GBRTENW,2001,1,interm,16,112
GBRTENW,2001,1,interm,17,52
GBRTENW,2001,1,interm,18,24
GBRTENW,2001,1,interm,19,693
GBRTENW,2001,1,interm,20,38
GBRTENW,2001,1,interm,21,3
GBRTENW,2001,1,interm,22,0
GBRTENW,2001,1,interm,23,0
GBRTENW,2001,1,interm,24,0
GBRTENW,2001,1,interm,25,353
GBRTENW,2001,1,interm,26,6
GBRTENW,2001,1,interm,27,117
GBRTENW,2001,1,interm,28,69
GBRTENW,2001,1,interm,29,68
GBRTENW,2001,1,interm,30,83
GBRTENW,2001,1,interm,31,136
GBRTENW,2001,1,interm,32,21
GBRTENW,2001,1,interm,33,327
GBRTENW,2001,1,interm,34,63
GBRTENW,2001,1,interm,35,116
GBRTENW,2001,1,interm,36,1
GBRTENW,2001,1,interm,37,23
GBRTENW,2001,1,interm,38,17
GBRTENW,2001,1,interm,39,145
GBRTENW,2001,1,interm,40,14
GBRTENW,2001,1,interm,41,29
GBRTENW,2001,1,interm,42,3
GBRTENW,2001,1,interm,43,47
GBRTENW,2001,1,interm,44,86
GBRTENW,2001,1,interm,45,64
GBRTENW,2001,1,interm,46,22
GBRTENW,2001,1,interm,47,38
GBRTENW,2001,1,interm,48,14
GBRTENW,2001,1,interm,49,5
GBRTENW,2001,1,interm,50,50
GBRTENW,2001,1,interm,51,1027
GBRTENW,2001,1,interm,52,523
GBRTENW,2001,1,interm,53,759
GBRTENW,2001,1,interm,54,54
GBRTENW,2001,1,interm,55,63
GBRTENW,2001,1,interm,56,1
GBRTENW,2001,1,interm,57,153
GBRTENW,2001,1,interm,58,120
GBRTENW,2001,1,interm,59,131
GBRTENW,2001,1,interm,60,109
GBRTENW,2001,1,interm,61,611
GBRTENW,2001,1,interm,62,32
GBRTENW,2001,1,interm,63,288
GBRTENW,2001,1,interm,64,66
GBRTENW,2001,1,interm,65,1
GBRTENW,2001,1,interm,66,491
GBRTENW,2001,1,interm,67,12
GBRTENW,2001,1,interm,68,18
GBRTENW,2001,1,interm,69,529
GBRTENW,2001,1,interm,70,28
GBRTENW,2001,1,interm,71,13
GBRTENW,2001,1,interm,72,61
GBRTENW,2001,1,interm,73,82
GBRTENW,2001,1,interm,74,69
GBRTENW,2001,1,interm,75,12
GBRTENW,2001,1,interm,76,98
GBRTENW,2001,1,interm,77,90
GBRTENW,2001,1,interm,78,37
GBRTENW,2001,1,interm,79,20
GBRTENW,2001,1,interm,80,18
GBRTENW,2001,1,interm,81,22
GBRTENW,2001,1,interm,82,54
GBRTENW,2001,1,interm,83,14
GBRTENW,2001,1,interm,84,51
GBRTENW,2001,1,interm,85,15
GBRTENW,2001,1,interm,86,55
GBRTENW,2001,1,interm,87,53
GBRTENW,2001,1,interm,88,8
GBRTENW,2001,1,interm,89,0
GBRTENW,2001,1,interm,90,39
GBRTENW,2001,1,interm,91,36
GBRTENW,2001,1,interm,92,6
GBRTENW,2001,1,interm,93,88
GBRTENW,2001,1,interm,94,52
GBRTENW,2001,1,interm,95,6
GBRTENW,2001,1,interm,96,7
GBRTENW,2001,1,interm,97,4
GBRTENW,2001,1,interm,98,27
GBRTENW,2001,1,interm,99,11
GBRTENW,2001,1,interm,100,102
GBRTENW,2001,1,interm,101,3
GBRTENW,2001,1,interm,102,66
GBRTENW,2001,1,interm,103,7
GBRTENW,2001,1,interm,104,47
GBRTENW,2002,1,interm,0,9853
GBRTENW,2002,1,interm,1,11
GBRTENW,2002,1,interm,2,1
GBRTENW,2002,1,interm,3,10
GBRTENW,2002,1,interm,4,34
GBRTENW,2002,1,interm,5,6
GBRTENW,2002,1,interm,6,6
GBRTENW,2002,1,interm,7,4
GBRTENW,2002,1,interm,8,5
GBRTENW,2002,1,interm,9,4
GBRTENW,2002,1,interm,10,43
GBRTENW,2002,1,interm,11,156
GBRTENW,2002,1,interm,12,136
GBRTENW,2002,1,interm,13,185
GBRTENW,2002,1,interm,14,110
GBRTENW,2002,1,interm,15,48
GBRTENW,2002,1,interm,16,116
GBRTENW,2002,1,interm,17,52
GBRTENW,2002,1,interm,18,23
GBRTENW,2002,1,interm,19,682
GBRTENW,2002,1,interm,20,41
GBRTENW,2002,1,interm,21,3
