country,year,sex,list,cause,cdr
GBRTENW,2001,1,short,0,9878
GBRTENW,2001,1,short,1,79
GBRTENW,2001,1,short,2,2838
GBRTENW,2001,1,short,3,17
GBRTENW,2001,1,short,4,140
GBRTENW,2001,1,short,5,192
GBRTENW,2001,1,short,6,257
GBRTENW,2001,1,short,7,2769
GBRTENW,2001,1,short,8,882
GBRTENW,2001,1,short,9,353
GBRTENW,2001,1,short,10,504
GBRTENW,2001,1,short,11,731
GBRTENW,2001,1,short,12,419
GBRTENW,2001,1,short,13,65
GBRTENW,2001,1,short,14,130
GBRTENW,2001,1,short,15,80
GBRTENW,2001,1,short,16,421
GBRTENW,2002,1,short,0,9853
GBRTENW,2002,1,short,1,81
GBRTENW,2002,1,short,2,2845
GBRTENW,2002,1,short,3,18
GBRTENW,2002,1,short,4,140
GBRTENW,2002,1,short,5,188
GBRTENW,2002,1,short,6,266
GBRTENW,2002,1,short,7,2688
GBRTENW,2002,1,short,8,890
GBRTENW,2002,1,short,9,349
GBRTENW,2002,1,short,10,510
GBRTENW,2002,1,short,11,748
GBRTENW,2002,1,short,12,432
GBRTENW,2002,1,short,13,68
GBRTENW,2002,1,short,14,144
GBRTENW,2002,1,short,15,81
GBRTENW,2002,1,short,16,403
GBRTENW,2003,1,short,0,9825
GBRTENW,2003,1,short,1,85
GBRTENW,2003,1,short,2,2826
GBRTENW,2003,1,short,3,17
GBRTENW,2003,1,short,4,140
GBRTENW,2003,1,short,5,185
GBRTENW,2003,1,short,6,278
GBRTENW,2003,1,short,7,2606
GBRTENW,2003,1,short,8,864
GBRTENW,2003,1,short,9,342
GBRTENW,2003,1,short,10,536
GBRTENW,2003,1,short,11,789
GBRTENW,2003,1,short,12,448
GBRTENW,2003,1,short,13,69
GBRTENW,2003,1,short,14,150
GBRTENW,2003,1,short,15,79
GBRTENW,2003,1,short,16,409
GBRTENW,2004,1,short,0,9386
GBRTENW,2004,1,short,1,85
GBRTENW,2004,1,short,2,2786
GBRTENW,2004,1,short,3,16
GBRTENW,2004,1,short,4,131
GBRTENW,2004,1,short,5,177
GBRTENW,2004,1,short,6,260
GBRTENW,2004,1,short,7,2435
GBRTENW,2004,1,short,8,785
GBRTENW,2004,1,short,9,321
GBRTENW,2004,1,short,10,488
GBRTENW,2004,1,short,11,749
GBRTENW,2004,1,short,12,440
GBRTENW,2004,1,short,13,70
GBRTENW,2004,1,short,14,153
GBRTENW,2004,1,short,15,81
GBRTENW,2004,1,short,16,408
GBRTENW,2005,1,short,0,9282
GBRTENW,2005,1,short,1,101
GBRTENW,2005,1,short,2,2756
GBRTENW,2005,1,short,3,17
GBRTENW,2005,1,short,4,128
GBRTENW,2005,1,short,5,183
GBRTENW,2005,1,short,6,272
GBRTENW,2005,1,short,7,2347
GBRTENW,2005,1,short,8,747
GBRTENW,2005,1,short,9,305
GBRTENW,2005,1,short,10,499
GBRTENW,2005,1,short,11,767
GBRTENW,2005,1,short,12,443
GBRTENW,2005,1,short,13,73
GBRTENW,2005,1,short,14,158
GBRTENW,2005,1,short,15,82
GBRTENW,2005,1,short,16,405
GBRTENW,2006,1,short,0,9114
GBRTENW,2006,1,short,1,125
GBRTENW,2006,1,short,2,2766
GBRTENW,2006,1,short,3,17
GBRTENW,2006,1,short,4,123
GBRTENW,2006,1,short,5,185
GBRTENW,2006,1,short,6,270
GBRTENW,2006,1,short,7,2203
GBRTENW,2006,1,short,8,720
GBRTENW,2006,1,short,9,299
GBRTENW,2006,1,short,10,470
GBRTENW,2006,1,short,11,738
GBRTENW,2006,1,short,12,463
GBRTENW,2006,1,short,13,72
GBRTENW,2006,1,short,14,169
GBRTENW,2006,1,short,15,80
GBRTENW,2006,1,short,16,416
GBRTENW,2007,1,short,0,9031
GBRTENW,2007,1,short,1,132
GBRTENW,2007,1,short,2,2758
GBRTENW,2007,1,short,3,17
GBRTENW,2007,1,short,4,124
GBRTENW,2007,1,short,5,203
GBRTENW,2007,1,short,6,286
GBRTENW,2007,1,short,7,2143
GBRTENW,2007,1,short,8,681
GBRTENW,2007,1,short,9,288
GBRTENW,2007,1,short,10,458
GBRTENW,2007,1,short,11,742
GBRTENW,2007,1,short,12,455
GBRTENW,2007,1,short,13,71
GBRTENW,2007,1,short,14,179
GBRTENW,2007,1,short,15,80
GBRTENW,2007,1,short,16,415
GBRTENW,2008,1,short,0,9034
GBRTENW,2008,1,short,1,110
GBRTENW,2008,1,short,2,2760
GBRTENW,2008,1,short,3,15
GBRTENW,2008,1,short,4,130
GBRTENW,2008,1,short,5,222
GBRTENW,2008,1,short,6,305
GBRTENW,2008,1,short,7,2095
GBRTENW,2008,1,short,8,672
GBRTENW,2008,1,short,9,274
GBRTENW,2008,1,short,10,476
GBRTENW,2008,1,short,11,761
GBRTENW,2008,1,short,12,463
GBRTENW,2008,1,short,13,72
GBRTENW,2008,1,short,14,182
GBRTENW,2008,1,short,15,78
GBRTENW,2008,1,short,16,420
GBRTENW,2009,1,short,0,8776
GBRTENW,2009,1,short,1,96
GBRTENW,2009,1,short,2,2748
GBRTENW,2009,1,short,3,17
GBRTENW,2009,1,short,4,120
GBRTENW,2009,1,short,5,218
GBRTENW,2009,1,short,6,298
GBRTENW,2009,1,short,7,2000
GBRTENW,2009,1,short,8,631
GBRTENW,2009,1,short,9,261
GBRTENW,2009,1,short,10,458
GBRTENW,2009,1,short,11,728
GBRTENW,2009,1,short,12,446
GBRTENW,2009,1,short,13,72
GBRTENW,2009,1,short,14,182
