country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
GBRTENW,2001,1,interm,3,0,252426,1808,318,185,281,882,1266,1470,2163,2672,3393,4977,8294,11452,16017,23300,34192,44987,42026,52743,33182,19561,15665,3896,.,.
GBRTENW,2001,1,interm,3,1,248.61,0,2.02,0,0,0,0,0,0,1,1,1,1,1,1.99,3,28.94,43.96,52.33,111.39,63.03,48.36,35.87,12.48,.,.
GBRTENW,2001,1,interm,3,2,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,3,6.04,4.22,2.03,2.19,1.06,1.13,.,.
GBRTENW,2001,1,interm,3,3,238.24,0,0,0,0,0,4.04,5.6,4.96,6.97,7.96,9.97,5.99,9.01,7.98,21.03,38.91,47.95,47.3,20.56,14.23,6.33,6.33,0,.,.
GBRTENW,2001,1,interm,3,4,819.84,25.52,9.09,4.89,2.66,3.84,1.01,2.8,11.91,9.96,7.96,9.97,20.96,30.03,39.89,60.08,92.8,152.85,141.89,191.73,118.95,72.78,58.03,14.75,.,.
GBRTENW,2001,1,interm,3,5,184.7,25.52,20.19,3.92,3.55,4.8,11.12,2.8,2.98,10.95,4.98,4.99,3.99,5,9.97,14.02,8.98,13.99,12.08,20.88,12.2,8.68,5.28,3.4,.,.
GBRTENW,2001,1,interm,3,6,119.01,2.04,0,0,0,0,1.01,8.4,23.82,19.91,27.87,13.96,5.99,8.01,1,4.01,2,1,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,7,133.69,0,0,0,0,0,2.02,0.93,0.99,11.95,16.92,29.92,20.96,10.01,13.96,9.01,5.99,6.99,3.02,1.02,1.02,0,0,0,.,.
GBRTENW,2001,1,interm,3,8,117.85,6.13,3.03,0.98,1.77,0,1.01,5.6,5.96,7.96,6.97,4.99,5.99,7.01,5.98,13.02,5.99,11.99,12.08,11.41,5.08,6.33,6.33,0,.,.
GBRTENW,2001,1,interm,3,9,143.67,3.06,0,0.98,0,0,4.04,0.93,2.98,3.98,3.98,7.98,7.98,12.01,9.97,14.02,18.96,17.98,15.09,19.71,13.22,6.49,4.22,2.27,.,.
