country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
GBRTENW,2001,1,short,3,0,5946,248,109,160,533,803,845,1074,1304,1852,3028,4698,7643,12774,21063,36133,61198,98422,191657,163132,272480,253677,388160,.,.
GBRTENW,2001,1,short,3,1,205,27,6,5,5,15,16,27,35,42,50,41,55,72,125,217,408,679,1384,1130,2106,1897,3392,.,.
GBRTENW,2001,1,short,3,2,30,35,27,28,46,65,70,133,206,374,813,1653,2990,5165,8116,12651,18741,25264,36304,33843,43279,42613,47375,.,.
GBRTENW,2001,1,short,3,3,24,4,2,4,2,6,4,4,8,7,8,8,15,14,24,31,71,144,382,270,699,683,791,.,.
GBRTENW,2001,1,short,3,4,77,10,6,8,9,18,14,17,28,34,44,75,98,199,318,560,813,1313,2375,2094,3169,3041,3957,.,.
GBRTENW,2001,1,short,3,5,0,0,0,2,23,77,99,99,71,65,60,44,45,53,119,263,855,2102,6836,5353,11037,10405,14925,.,.
GBRTENW,2001,1,short,3,6,191,44,12,25,48,33,35,48,58,73,90,119,158,231,411,711,1581,2842,5315,4753,6906,6834,7349,.,.
GBRTENW,2001,1,short,3,7,84,6,1,9,17,26,31,87,164,372,792,1310,2216,3895,6455,10920,18204,28907,52207,45589,70960,67148,94411,.,.
GBRTENW,2001,1,short,3,8,10,1,3,2,4,10,17,17,34,77,127,218,382,643,1342,2816,5838,11418,25251,21372,36242,33403,53707,.,.
GBRTENW,2001,1,short,3,9,10,1,0,1,3,1,8,10,17,27,51,88,176,394,822,1580,2612,4082,6677,6028,8517,8321,9724,.,.
GBRTENW,2001,1,short,3,10,107,12,1,1,4,6,9,14,26,35,69,88,148,247,461,1007,2568,5833,21839,14865,41602,34856,83105,.,.
GBRTENW,2001,1,short,3,11,60,9,4,4,5,9,10,15,32,37,67,142,347,698,1400,3034,5399,8812,16456,14720,21377,20110,29171,.,.
GBRTENW,2001,1,short,3,12,54,10,2,2,3,14,18,67,119,239,358,460,531,623,794,1275,2086,3372,6442,5333,9585,8919,13681,.,.
GBRTENW,2001,1,short,3,13,0,1,1,2,3,1,2,5,4,5,12,29,24,72,123,198,387,622,2031,1509,3507,3195,5427,.,.
GBRTENW,2001,1,short,3,14,7,1,1,1,3,2,3,3,8,3,22,21,39,82,167,325,807,1577,4658,3629,7575,6766,12550,.,.
GBRTENW,2001,1,short,3,15,4929,41,9,11,23,14,12,14,17,17,13,18,33,42,23,35,37,49,45,35,75,68,113,.,.
GBRTENW,2001,1,short,3,16,158,46,34,59,334,506,498,513,475,445,451,383,387,345,364,511,792,1407,3453,2609,5845,5416,8480,.,.
GBRTENW,2002,1,short,3,0,5986,251,117,158,493,770,853,1023,1279,1883,3048,4635,7416,12554,20496,35109,60025,97546,193910,163125,275991,254566,405141,.,.
GBRTENW,2002,1,short,3,1,114,29,4,3,7,8,14,21,32,39,50,52,60,75,130,206,416,723,1536,1311,2137,1867,3762,.,.
GBRTENW,2002,1,short,3,2,23,39,35,40,50,60,72,114,192,392,817,1579,2953,5178,8141,12578,18585,24752,36353,34093,42376,41432,48069,.,.
GBRTENW,2002,1,short,3,3,47,3,2,2,3,4,3,6,3,8,6,12,16,24,31,52,79,122,373,318,521,503,627,.,.
GBRTENW,2002,1,short,3,4,80,18,7,7,10,16,14,22,20,29,46,64,96,186,290,557,790,1348,2577,2133,3762,3328,6374,.,.
GBRTENW,2002,1,short,3,5,0,0,0,4,20,80,102,91,64,46,48,45,53,52,81,264,823,2056,6850,5098,11521,10520,17556,.,.
GBRTENW,2002,1,short,3,6,215,30,18,20,40,33,35,47,60,74,118,116,173,219,418,766,1631,2838,5465,4937,6873,6591,8569,.,.
GBRTENW,2002,1,short,3,7,74,10,3,4,10,25,45,78,171,395,758,1311,2114,3613,5972,10206,17039,28167,52645,45172,72570,68122,99378,.,.
GBRTENW,2002,1,short,3,8,13,3,1,4,6,5,10,21,37,83,149,209,344,664,1313,2720,5776,11154,26044,21396,38435,36334,51100,.,.
GBRTENW,2002,1,short,3,9,0,0,0,1,3,4,10,16,18,33,62,91,183,396,734,1500,2614,3952,6537,6081,7750,7354,10136,.,.
GBRTENW,2002,1,short,3,10,94,6,2,3,6,5,11,13,30,38,65,100,140,245,435,1004,2494,6030,21884,14528,41498,34808,81822,.,.
GBRTENW,2002,1,short,3,11,37,10,4,8,10,16,7,15,21,26,70,142,327,702,1388,2865,5646,9204,16815,14609,22699,20554,35634,.,.
GBRTENW,2002,1,short,3,12,64,6,4,2,4,13,26,59,131,244,382,454,518,668,886,1282,2147,3375,6371,5305,9212,8556,13167,.,.
GBRTENW,2002,1,short,3,13,7,1,1,1,1,1,1,2,4,9,17,20,33,78,127,200,343,767,2032,1498,3456,2955,6479,.,.
GBRTENW,2002,1,short,3,14,7,1,1,0,2,1,5,6,7,12,18,30,39,84,171,375,826,1775,5149,4029,8135,7127,14212,.,.
GBRTENW,2002,1,short,3,15,5084,45,7,12,9,14,13,16,15,15,17,25,34,33,25,30,40,64,94,71,156,130,313,.,.
GBRTENW,2002,1,short,3,16,127,49,30,47,311,483,486,495,474,441,428,387,333,335,356,503,774,1218,3186,2547,4890,4383,7942,.,.
GBRTENW,2003,1,short,3,0,5797,246,113,139,470,741,798,994,1288,1887,2937,4692,7357,12443,20080,33967,58171,97783,197443,163840,280651,260399,399895,.,.
GBRTENW,2003,1,short,3,1,141,20,6,5,5,9,10,24,33,42,55,58,54,82,122,243,411,716,1704,1381,2505,2266,3913,.,.
GBRTENW,2003,1,short,3,2,33,35,28,32,48,57,63,117,198,391,785,1531,2895,5069,7982,12204,18141,25193,36269,33234,43784,42531,51161,.,.
GBRTENW,2003,1,short,3,3,36,3,3,1,1,2,3,4,3,10,5,8,8,16,42,45,86,162,354,229,664,528,1467,.,.
GBRTENW,2003,1,short,3,4,121,7,5,6,7,17,17,21,28,27,42,70,91,177,338,516,773,1282,2633,2147,3836,3275,7141,.,.
GBRTENW,2003,1,short,3,5,0,0,0,2,13,54,83,92,65,52,48,47,42,56,76,257,803,2073,6913,5440,10560,9779,15162,.,.
GBRTENW,2003,1,short,3,6,186,37,18,16,48,40,37,44,66,83,91,122,163,249,377,828,1625,3072,5863,5237,7414,7078,9391,.,.
GBRTENW,2003,1,short,3,7,78,7,4,5,17,22,41,81,136,362,725,1293,2010,3546,5638,9656,16127,27228,52096,44421,71102,66962,95474,.,.
GBRTENW,2003,1,short,3,8,13,4,2,1,7,15,12,20,42,77,137,218,338,598,1208,2521,5491,11187,25166,20905,35717,34257,44313,.,.
GBRTENW,2003,1,short,3,9,3,0,1,0,2,2,9,15,22,36,54,92,188,377,773,1404,2484,3884,6337,5753,7785,7280,10760,.,.
GBRTENW,2003,1,short,3,10,95,14,2,2,4,2,13,16,23,36,58,109,135,304,478,1031,2546,6123,23384,15174,43714,37315,81388,.,.
GBRTENW,2003,1,short,3,11,43,11,6,7,6,8,9,10,32,35,64,168,359,749,1471,2949,5721,9431,18305,15564,25090,23935,31890,.,.
GBRTENW,2003,1,short,3,12,92,9,3,5,5,11,28,62,145,258,403,517,589,682,904,1236,1973,3297,6987,5826,9864,8848,15847,.,.
GBRTENW,2003,1,short,3,13,7,1,1,1,3,3,2,3,4,9,13,23,38,60,104,230,369,720,2110,1417,3825,3229,7337,.,.
GBRTENW,2003,1,short,3,14,10,2,0,1,1,3,3,6,4,9,13,24,39,77,175,371,819,1929,5561,4205,8920,7777,15651,.,.
GBRTENW,2003,1,short,3,15,4813,40,8,5,12,11,11,10,14,16,17,27,33,41,43,26,37,57,102,89,135,109,293,.,.
GBRTENW,2003,1,short,3,16,128,53,24,49,291,485,456,469,475,445,427,387,376,363,348,448,766,1429,3658,2819,5735,5231,8706,.,.
GBRTENW,2004,1,short,3,0,5579,232,103,146,446,674,741,977,1268,1807,2775,4597,6847,11695,19226,31911,54948,93332,185514,152171,264008,243783,379826,.,.
GBRTENW,2004,1,short,3,1,90,18,5,4,5,8,12,20,26,40,41,61,58,87,120,227,435,762,1780,1357,2778,2629,3630,.,.
GBRTENW,2004,1,short,3,2,38,33,31,31,49,59,71,111,192,350,711,1538,2696,4844,7827,11968,18103,24828,35501,32617,42293,40739,51188,.,.
GBRTENW,2004,1,short,3,3,22,6,2,2,1,1,2,5,5,7,3,11,12,21,31,47,73,113,362,287,538,505,726,.,.
GBRTENW,2004,1,short,3,4,99,9,8,5,8,19,13,17,26,30,41,67,83,132,316,468,781,1140,2414,1894,3638,3401,4992,.,.
GBRTENW,2004,1,short,3,5,0,2,1,1,10,43,78,81,78,65,52,51,37,50,89,238,683,1902,6694,4926,10854,10055,15429,.,.
GBRTENW,2004,1,short,3,6,144,40,11,19,32,37,30,41,49,73,102,114,155,271,429,781,1426,2952,5017,4337,6618,6505,7261,.,.
GBRTENW,2004,1,short,3,7,71,4,2,11,12,24,42,86,156,338,718,1178,1872,3178,5252,8649,14846,25258,49103,40946,68305,63909,93482,.,.
GBRTENW,2004,1,short,3,8,16,5,3,1,4,8,12,21,47,71,122,210,287,564,1050,2330,4795,10127,22660,18229,33093,30551,47648,.,.
GBRTENW,2004,1,short,3,9,6,1,1,0,2,2,4,17,21,32,47,89,182,339,714,1289,2287,3702,5823,5459,6680,6594,7170,.,.
GBRTENW,2004,1,short,3,10,51,20,1,1,3,3,10,13,26,38,55,100,138,235,423,952,2312,5653,20759,13475,37908,31754,73152,.,.
GBRTENW,2004,1,short,3,11,45,6,10,10,4,9,12,14,18,35,66,163,305,736,1413,2633,5123,9264,17507,14905,23633,22308,31221,.,.
GBRTENW,2004,1,short,3,12,51,9,2,4,4,9,24,60,122,238,371,521,551,725,873,1230,1992,3386,6510,5370,9194,8169,15066,.,.
GBRTENW,2004,1,short,3,13,0,1,1,1,1,2,1,4,8,12,12,17,35,69,100,234,415,760,1969,1383,3348,3045,5082,.,.
GBRTENW,2004,1,short,3,14,6,1,1,1,0,2,2,3,5,12,18,25,47,68,167,347,809,1892,5871,4264,9655,8599,15701,.,.
GBRTENW,2004,1,short,3,15,4828,37,8,7,17,16,12,18,15,15,15,23,32,39,25,20,38,68,101,83,142,119,272,.,.
GBRTENW,2004,1,short,3,16,109,43,18,49,294,434,416,467,474,453,400,430,356,338,398,498,831,1524,3443,2641,5333,4901,7805,.,.
GBRTENW,2005,1,short,3,0,5693,226,96,141,428,638,705,906,1244,1779,2807,4415,6821,11436,18392,31041,52754,89743,184795,150703,268082,246512,388584,.,.
GBRTENW,2005,1,short,3,1,151,24,2,3,8,4,14,18,27,41,41,56,66,86,148,254,506,993,2218,1718,3439,3445,3406,.,.
GBRTENW,2005,1,short,3,2,31,35,31,24,32,54,60,94,188,341,737,1426,2716,4761,7603,11840,17234,24210,35779,32852,42928,41757,49467,.,.
GBRTENW,2005,1,short,3,3,35,3,1,2,1,2,3,4,5,2,7,13,13,13,30,39,81,152,368,286,569,457,1192,.,.
GBRTENW,2005,1,short,3,4,79,10,4,7,7,14,13,16,20,31,50,73,81,149,226,448,698,1234,2437,2028,3438,3245,4512,.,.
GBRTENW,2005,1,short,3,5,0,0,1,1,15,43,71,97,85,62,63,63,47,65,92,247,757,1869,6260,4415,10770,9878,15751,.,.
GBRTENW,2005,1,short,3,6,151,26,11,23,37,35,37,35,48,82,104,116,168,242,437,832,1591,2798,5347,4807,6666,6533,7407,.,.
