country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
BLR,1965,1,interm,1,0,11669,18740,3042,2157,10290,63199,2701,2226,10676,72006
BLR,1965,1,interm,1,1,2,2,5,0,2,0,5,0,3,0
BLR,1965,1,interm,1,2,1,1,2,1,1,0,2,1,1,0
BLR,1965,1,interm,1,3,718,907,17,253,1211,2170,16,268,1243,2076
BLR,1965,1,interm,1,4,16,13,52,4,5,16,45,4,5,17
BLR,1965,1,interm,1,5,3,3,10,1,3,0,9,1,3,0
BLR,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
BLR,1965,1,interm,1,7,15,18,12,4,20,41,11,4,20,42
BLR,1965,1,interm,1,8,10,8,26,3,6,8,23,3,6,7
BLR,1965,1,interm,1,9,2,2,2,1,3,0,3,1,3,0
BLR,1965,1,interm,1,10,22,35,1,2,29,112,1,2,30,124
BLR,1965,1,interm,1,11,62,94,0,3,73,346,0,3,78,344
BLR,1965,1,interm,1,12,805,1143,0,67,1192,3637,0,73,1242,3610
BLR,1965,1,interm,1,13,29,39,0,6,41,123,0,7,42,118
BLR,1965,1,interm,1,14,40,55,1,7,54,179,1,8,56,176
BLR,1965,1,interm,1,15,34,47,0,2,50,154,0,3,52,148
BLR,1965,1,interm,1,16,77,106,2,6,118,336,2,6,122,321
BLR,1965,1,interm,1,17,20,27,0,1,32,85,0,1,33,79
BLR,1965,1,interm,1,18,29,38,1,5,49,102,1,6,50,100
BLR,1965,1,interm,1,19,317,421,2,16,561,1197,2,18,588,1121
BLR,1965,1,interm,1,20,16,28,0,2,9,108,0,3,10,121
BLR,1965,1,interm,1,21,1,3,0,0,1,8,0,0,1,11
BLR,1965,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
BLR,1965,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
BLR,1965,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
BLR,1965,1,interm,1,25,40,69,0,1,22,301,0,1,24,310
BLR,1965,1,interm,1,26,7,11,0,3,7,37,0,3,7,39
BLR,1965,1,interm,1,27,33,51,0,1,38,186,0,1,40,192
BLR,1965,1,interm,1,28,37,58,3,1,42,210,3,1,44,220
BLR,1965,1,interm,1,29,23,27,5,8,43,44,5,8,44,44
BLR,1965,1,interm,1,30,74,89,44,43,85,197,42,43,88,199
BLR,1965,1,interm,1,31,41,46,12,19,71,81,12,19,72,70
BLR,1965,1,interm,1,32,43,57,7,15,67,136,7,15,68,143
BLR,1965,1,interm,1,33,54,77,2,14,64,255,2,14,66,258
BLR,1965,1,interm,1,34,27,34,3,9,47,73,3,10,48,77
BLR,1965,1,interm,1,35,16,23,0,4,15,86,0,4,16,83
BLR,1965,1,interm,1,36,0,0,1,0,0,0,1,0,0,0
BLR,1965,1,interm,1,37,7,9,6,4,5,24,5,4,5,25
BLR,1965,1,interm,1,38,15,17,9,9,22,28,8,9,23,25
BLR,1965,1,interm,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,40,9,10,0,7,18,8,0,8,17,7
BLR,1965,1,interm,1,41,3,4,0,2,4,8,0,2,5,9
BLR,1965,1,interm,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,46,45,53,27,40,43,104,26,40,44,112
BLR,1965,1,interm,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,48,235,306,33,157,303,693,34,160,304,766
BLR,1965,1,interm,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,54,10,19,0,1,8,68,0,1,8,81
BLR,1965,1,interm,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,59,381,644,0,23,408,2206,0,25,420,2544
BLR,1965,1,interm,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,63,170,339,0,3,77,1314,0,3,82,1592
BLR,1965,1,interm,1,64,32,57,0,1,24,215,0,1,24,248
BLR,1965,1,interm,1,65,52,80,64,5,20,267,55,6,21,319
BLR,1965,1,interm,1,66,1380,2240,870,35,887,8113,753,36,937,9200
BLR,1965,1,interm,1,67,3,3,9,0,1,8,8,0,1,7
BLR,1965,1,interm,1,68,43,77,0,1,26,314,0,1,29,343
BLR,1965,1,interm,1,69,987,1903,1,16,486,7502,1,17,518,8842
BLR,1965,1,interm,1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,1965,1,interm,1,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
