country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
CZE,1994,1,interm,1,0,13622,23315,936,1431,11749,83230,844,1470,12250,95488
CZE,1994,1,interm,1,1,2,3,1,0,1,10,1,0,1,10
CZE,1994,1,interm,1,2,1,1,1,1,1,2,1,1,1,2
CZE,1994,1,interm,1,3,16,27,0,1,21,84,0,1,22,100
CZE,1994,1,interm,1,4,9,14,2,2,11,40,2,2,11,50
CZE,1994,1,interm,1,5,4,4,6,3,4,7,5,3,4,8
CZE,1994,1,interm,1,6,1,1,0,2,2,0,0,2,2,0
CZE,1994,1,interm,1,7,5,7,1,2,6,23,1,2,6,25
CZE,1994,1,interm,1,8,3,4,1,1,4,12,1,1,4,12
CZE,1994,1,interm,1,9,1,2,1,1,1,5,1,1,1,5
CZE,1994,1,interm,1,10,108,143,1,7,222,312,1,7,224,334
CZE,1994,1,interm,1,11,69,100,0,3,117,279,0,3,119,304
CZE,1994,1,interm,1,12,263,447,0,6,229,1705,0,6,240,1872
CZE,1994,1,interm,1,13,295,500,1,7,251,1927,1,7,266,2095
CZE,1994,1,interm,1,14,259,424,0,6,272,1549,0,6,285,1676
CZE,1994,1,interm,1,15,115,176,1,4,139,620,1,5,147,640
CZE,1994,1,interm,1,16,165,254,0,6,206,884,0,7,215,920
CZE,1994,1,interm,1,17,103,176,0,4,91,653,0,4,97,731
CZE,1994,1,interm,1,18,65,87,0,3,118,236,0,3,121,232
CZE,1994,1,interm,1,19,992,1429,0,20,1515,4550,0,22,1592,4560
CZE,1994,1,interm,1,20,58,92,0,7,70,298,0,7,72,334
CZE,1994,1,interm,1,21,5,8,0,0,4,29,0,0,4,36
CZE,1994,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
CZE,1994,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
CZE,1994,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
CZE,1994,1,interm,1,25,280,547,0,0,104,2240,0,0,112,2616
CZE,1994,1,interm,1,26,19,26,0,22,17,54,0,23,17,66
CZE,1994,1,interm,1,27,112,195,0,1,90,756,0,1,95,833
CZE,1994,1,interm,1,28,172,264,4,3,222,897,4,4,234,943
CZE,1994,1,interm,1,29,76,96,21,21,118,239,21,22,121,233
CZE,1994,1,interm,1,30,105,165,13,22,100,566,13,22,105,619
CZE,1994,1,interm,1,31,96,142,11,17,117,456,11,17,123,480
CZE,1994,1,interm,1,32,1,1,0,0,0,6,0,0,0,7
CZE,1994,1,interm,1,33,143,211,14,23,184,659,14,24,191,703
CZE,1994,1,interm,1,34,32,50,2,3,32,183,2,3,33,194
CZE,1994,1,interm,1,35,117,200,0,3,97,775,0,3,102,848
CZE,1994,1,interm,1,36,1,1,0,0,1,3,0,0,1,4
CZE,1994,1,interm,1,37,11,12,17,4,8,25,15,4,8,30
CZE,1994,1,interm,1,38,11,17,9,3,8,53,8,3,8,61
CZE,1994,1,interm,1,39,0,0,0,0,0,0,0,0,0,0
CZE,1994,1,interm,1,40,9,11,0,3,22,14,0,3,21,13
CZE,1994,1,interm,1,41,1,1,0,1,1,2,0,1,2,2
CZE,1994,1,interm,1,42,1,1,0,1,2,0,0,1,2,0
CZE,1994,1,interm,1,43,21,24,5,7,39,43,4,7,40,38
CZE,1994,1,interm,1,44,10,16,0,1,7,66,0,0,8,70
CZE,1994,1,interm,1,45,31,58,3,0,25,203,3,0,27,249
CZE,1994,1,interm,1,46,15,16,6,15,23,13,6,15,23,13
CZE,1994,1,interm,1,47,30,32,38,15,32,50,36,14,33,52
CZE,1994,1,interm,1,48,39,60,0,2,54,193,0,2,56,208
CZE,1994,1,interm,1,49,1,1,0,0,0,7,0,0,0,7
CZE,1994,1,interm,1,50,68,107,0,3,85,363,0,4,89,389
CZE,1994,1,interm,1,51,1969,3237,0,46,2024,11859,0,50,2131,12860
CZE,1994,1,interm,1,52,322,596,0,3,210,2303,0,4,221,2668
CZE,1994,1,interm,1,53,1419,2757,0,18,764,10616,0,19,807,12722
CZE,1994,1,interm,1,54,130,228,1,7,101,867,1,8,107,974
CZE,1994,1,interm,1,55,14,20,0,2,22,60,0,2,23,58
CZE,1994,1,interm,1,56,18,31,0,1,16,116,0,1,16,127
CZE,1994,1,interm,1,57,181,328,5,17,142,1168,4,18,147,1398
CZE,1994,1,interm,1,58,50,68,10,20,66,177,9,21,68,194
CZE,1994,1,interm,1,59,210,328,2,22,250,1106,2,23,258,1197
CZE,1994,1,interm,1,60,257,488,0,2,146,1909,0,2,157,2233
CZE,1994,1,interm,1,61,1435,2951,1,6,437,11752,1,7,471,14312
CZE,1994,1,interm,1,62,16,31,0,1,7,126,0,1,8,147
CZE,1994,1,interm,1,63,1035,2132,0,11,391,8238,0,11,416,10199
CZE,1994,1,interm,1,64,57,95,1,7,43,363,1,8,44,400
CZE,1994,1,interm,1,65,12,22,1,2,7,77,1,2,7,96
CZE,1994,1,interm,1,66,256,508,15,16,110,1923,13,16,115,2374
CZE,1994,1,interm,1,67,13,23,6,1,7,77,5,1,8,97
CZE,1994,1,interm,1,68,22,34,1,2,18,133,1,2,20,138
CZE,1994,1,interm,1,69,262,480,0,3,170,1877,0,3,179,2149
CZE,1994,1,interm,1,70,0,0,0,0,0,0,0,0,0,0
CZE,1994,1,interm,1,71,30,54,0,0,19,216,0,0,21,243
CZE,1994,1,interm,1,72,6,9,2,2,8,24,2,2,9,26
CZE,1994,1,interm,1,73,11,14,1,5,14,40,1,5,15,39
CZE,1994,1,interm,1,74,86,144,0,4,91,499,0,5,94,567
CZE,1994,1,interm,1,75,13,25,0,0,7,95,0,0,7,117
CZE,1994,1,interm,1,76,68,121,2,7,46,454,2,8,49,522
CZE,1994,1,interm,1,77,102,116,0,23,247,137,0,26,247,131
CZE,1994,1,interm,1,78,135,187,0,15,232,510,0,16,237,524
CZE,1994,1,interm,1,79,33,47,4,5,48,132,3,6,49,144
CZE,1994,1,interm,1,80,32,62,0,1,17,238,0,1,17,288
CZE,1994,1,interm,1,81,45,60,0,20,77,127,0,21,77,139
CZE,1994,1,interm,1,82,38,65,1,2,36,233,1,2,37,265
CZE,1994,1,interm,1,83,2,3,0,0,2,7,0,0,2,9
CZE,1994,1,interm,1,84,4,6,0,0,6,19,0,0,6,21
CZE,1994,1,interm,1,85,60,113,2,3,39,422,2,3,41,500
CZE,1994,1,interm,1,86,84,155,0,2,58,586,0,2,60,689
CZE,1994,1,interm,1,87,18,35,0,1,10,134,0,0,10,161
CZE,1994,1,interm,1,88,39,82,0,0,5,335,0,0,6,410
CZE,1994,1,interm,1,89,0,0,0,0,0,0,0,0,0,0
