country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
FRATNP,2000,1,interm,3,0,8543,14946,565,1189,7079,52154,509,1219,7316,61723
FRATNP,2000,1,interm,3,1,3,7,0,0,2,24,0,0,2,30
FRATNP,2000,1,interm,3,2,10,19,6,0,4,65,5,0,4,84
FRATNP,2000,1,interm,3,3,19,37,0,1,12,136,0,1,13,165
FRATNP,2000,1,interm,3,4,60,114,4,2,36,428,4,2,38,514
FRATNP,2000,1,interm,3,5,10,17,6,1,6,59,5,1,7,71
FRATNP,2000,1,interm,3,6,30,31,0,34,50,14,0,37,49,13
FRATNP,2000,1,interm,3,7,17,24,1,5,22,73,1,5,23,77
FRATNP,2000,1,interm,3,8,6,9,3,2,4,27,2,2,4,31
FRATNP,2000,1,interm,3,9,26,49,2,2,17,178,2,2,17,219
FRATNP,2000,1,interm,3,10,138,184,0,4,269,456,0,5,276,461
FRATNP,2000,1,interm,3,11,118,170,0,3,184,529,0,3,190,542
FRATNP,2000,1,interm,3,12,102,175,0,4,94,637,0,5,99,720
FRATNP,2000,1,interm,3,13,194,345,0,4,144,1329,0,4,152,1503
FRATNP,2000,1,interm,3,14,73,127,0,2,61,476,0,3,64,537
FRATNP,2000,1,interm,3,15,163,260,0,3,168,981,0,4,178,1019
FRATNP,2000,1,interm,3,16,119,190,0,3,144,656,0,3,151,709
FRATNP,2000,1,interm,3,17,50,91,0,1,38,345,0,1,40,398
FRATNP,2000,1,interm,3,18,59,82,0,1,103,233,0,1,106,237
FRATNP,2000,1,interm,3,19,691,1021,0,15,995,3339,0,17,1035,3433
FRATNP,2000,1,interm,3,20,31,49,0,7,35,157,0,7,35,177
FRATNP,2000,1,interm,3,21,4,6,0,0,4,22,0,0,4,24
FRATNP,2000,1,interm,3,22,0,0,0,0,0,0,0,0,0,0
FRATNP,2000,1,interm,3,23,0,0,0,0,0,0,0,0,0,0
FRATNP,2000,1,interm,3,24,0,0,0,0,0,0,0,0,0,0
FRATNP,2000,1,interm,3,25,284,591,0,0,77,2354,0,0,84,2888
FRATNP,2000,1,interm,3,26,7,10,0,7,7,22,0,7,7,26
FRATNP,2000,1,interm,3,27,103,189,0,1,70,730,0,1,74,839
FRATNP,2000,1,interm,3,28,72,120,1,3,71,438,1,4,74,481
FRATNP,2000,1,interm,3,29,56,72,13,17,83,195,13,17,85,189
FRATNP,2000,1,interm,3,30,87,148,8,14,65,538,8,14,68,613
FRATNP,2000,1,interm,3,31,122,207,1,14,106,756,2,14,111,847
FRATNP,2000,1,interm,3,32,63,105,0,1,66,375,0,1,68,418
