country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
GBRTENW,2001,1,interm,3,0,8452,15433,590,912,5524,56689,526,933,5772,67315
GBRTENW,2001,1,interm,3,1,9,19,0,0,1,74,0,0,1,97
GBRTENW,2001,1,interm,3,2,1,1,0,0,0,5,0,0,0,6
GBRTENW,2001,1,interm,3,3,8,13,0,2,5,47,0,2,5,53
GBRTENW,2001,1,interm,3,4,28,51,10,3,14,184,9,3,14,224
GBRTENW,2001,1,interm,3,5,7,9,12,4,4,21,11,4,4,25
GBRTENW,2001,1,interm,3,6,4,4,0,5,7,2,0,6,7,2
GBRTENW,2001,1,interm,3,7,5,6,0,2,12,7,0,2,12,7
GBRTENW,2001,1,interm,3,8,4,6,3,2,4,16,2,2,4,18
GBRTENW,2001,1,interm,3,9,5,8,1,1,5,25,1,1,5,28
GBRTENW,2001,1,interm,3,10,39,57,0,2,62,168,0,2,64,179
GBRTENW,2001,1,interm,3,11,131,215,0,3,141,770,0,3,148,841
GBRTENW,2001,1,interm,3,12,113,201,0,3,80,783,0,3,85,877
GBRTENW,2001,1,interm,3,13,158,277,0,3,126,1058,0,3,133,1185
GBRTENW,2001,1,interm,3,14,90,152,0,2,87,558,0,2,92,617
GBRTENW,2001,1,interm,3,15,40,64,0,3,41,231,0,3,43,250
GBRTENW,2001,1,interm,3,16,96,159,0,2,101,573,0,3,106,628
GBRTENW,2001,1,interm,3,17,44,77,0,2,35,291,0,2,37,326
GBRTENW,2001,1,interm,3,18,21,33,0,0,25,113,0,0,27,124
GBRTENW,2001,1,interm,3,19,577,977,0,4,498,3783,0,5,530,4091
GBRTENW,2001,1,interm,3,20,34,54,0,6,39,172,0,7,40,196
GBRTENW,2001,1,interm,3,21,3,5,0,0,2,17,0,0,2,19
GBRTENW,2001,1,interm,3,22,0,0,0,0,0,0,0,0,0,0
GBRTENW,2001,1,interm,3,23,0,0,0,0,0,0,0,0,0,0
GBRTENW,2001,1,interm,3,24,0,0,0,0,0,0,0,0,0,0
GBRTENW,2001,1,interm,3,25,287,591,0,0,80,2374,0,0,88,2878
GBRTENW,2001,1,interm,3,26,6,9,0,3,6,25,0,3,7,28
GBRTENW,2001,1,interm,3,27,97,188,0,1,47,740,0,1,50,877
GBRTENW,2001,1,interm,3,28,59,95,1,3,67,331,1,3,70,360
GBRTENW,2001,1,interm,3,29,63,82,7,16,102,213,6,16,105,211
GBRTENW,2001,1,interm,3,30,71,120,9,15,55,422,9,15,58,483
GBRTENW,2001,1,interm,3,31,116,190,3,14,117,667,3,14,122,738
GBRTENW,2001,1,interm,3,32,18,33,0,0,10,128,0,0,11,150
GBRTENW,2001,1,interm,3,33,275,468,6,19,238,1736,6,20,251,1934
GBRTENW,2001,1,interm,3,34,53,101,3,4,28,383,3,4,29,460
GBRTENW,2001,1,interm,3,35,98,180,0,7,64,681,0,7,67,797
GBRTENW,2001,1,interm,3,36,1,1,0,0,0,5,0,0,0,6
GBRTENW,2001,1,interm,3,37,21,30,13,10,19,81,12,10,19,92
GBRTENW,2001,1,interm,3,38,15,26,5,5,10,84,4,5,10,105
GBRTENW,2001,1,interm,3,39,126,294,0,0,6,1128,0,0,7,1496
GBRTENW,2001,1,interm,3,40,13,15,0,8,29,15,0,8,29,15
GBRTENW,2001,1,interm,3,41,29,27,1,66,17,1,1,67,17,1
GBRTENW,2001,1,interm,3,42,3,6,0,0,1,21,0,0,2,25
GBRTENW,2001,1,interm,3,43,42,61,5,5,57,191,5,5,59,197
GBRTENW,2001,1,interm,3,44,68,150,0,0,6,602,0,0,6,758
GBRTENW,2001,1,interm,3,45,52,114,2,1,10,442,2,1,10,566
GBRTENW,2001,1,interm,3,46,21,24,5,20,27,37,5,20,27,40
GBRTENW,2001,1,interm,3,47,35,48,26,18,28,128,24,18,28,148
GBRTENW,2001,1,interm,3,48,12,21,0,1,7,81,0,1,7,94
GBRTENW,2001,1,interm,3,49,4,8,0,0,0,33,0,0,0,40
GBRTENW,2001,1,interm,3,50,42,75,0,1,37,274,0,1,38,319
GBRTENW,2001,1,interm,3,51,852,1538,1,16,631,5853,1,17,664,6716
GBRTENW,2001,1,interm,3,52,444,743,0,13,443,2703,0,15,463,2991
GBRTENW,2001,1,interm,3,53,634,1263,0,4,291,4901,0,4,310,5936
GBRTENW,2001,1,interm,3,54,45,84,1,4,28,315,1,4,29,370
GBRTENW,2001,1,interm,3,55,51,99,0,2,26,381,0,2,28,457
GBRTENW,2001,1,interm,3,56,1,3,0,1,1,8,0,1,1,11
GBRTENW,2001,1,interm,3,57,137,310,0,1,17,1190,0,1,18,1558
GBRTENW,2001,1,interm,3,58,108,193,8,22,84,651,7,23,85,798
GBRTENW,2001,1,interm,3,59,114,181,1,14,138,587,1,15,142,658
GBRTENW,2001,1,interm,3,60,90,185,0,1,32,718,0,1,34,887
GBRTENW,2001,1,interm,3,61,509,1105,1,1,90,4356,1,1,97,5498
GBRTENW,2001,1,interm,3,62,26,57,0,0,4,222,0,0,4,284
GBRTENW,2001,1,interm,3,63,233,459,0,3,84,1863,0,3,91,2194
