country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
LVA,1956,1,interm,1,0,14466,23195,4319,2998,12137,78021,3877,3054,12583,89296
LVA,1956,1,interm,1,1,15,11,57,1,2,11,49,1,3,12
LVA,1956,1,interm,1,2,10,7,47,0,0,2,40,0,0,2
LVA,1956,1,interm,1,3,892,1232,112,467,1154,3042,102,483,1156,3482
LVA,1956,1,interm,1,4,37,36,95,6,25,54,83,6,25,62
LVA,1956,1,interm,1,5,35,31,119,8,9,31,113,8,9,36
LVA,1956,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
LVA,1956,1,interm,1,7,21,31,6,14,16,90,6,14,17,103
LVA,1956,1,interm,1,8,29,24,68,27,9,16,61,26,9,18
LVA,1956,1,interm,1,9,33,48,7,5,47,130,7,5,47,149
LVA,1956,1,interm,1,10,32,55,0,2,32,193,0,2,33,220
LVA,1956,1,interm,1,11,71,129,0,3,50,493,0,3,53,565
LVA,1956,1,interm,1,12,959,1597,0,51,1077,5421,0,54,1105,6205
LVA,1956,1,interm,1,13,75,127,0,4,80,438,0,4,83,501
LVA,1956,1,interm,1,14,58,103,0,4,44,385,0,4,46,441
LVA,1956,1,interm,1,15,46,79,0,3,44,278,0,3,46,319
LVA,1956,1,interm,1,16,126,216,1,7,122,766,1,8,127,877
LVA,1956,1,interm,1,17,37,63,0,3,36,220,0,3,38,251
LVA,1956,1,interm,1,18,53,91,0,2,49,330,0,3,51,377
LVA,1956,1,interm,1,19,502,811,1,13,659,2604,1,14,674,2980
LVA,1956,1,interm,1,20,11,20,1,1,5,81,0,1,6,93
LVA,1956,1,interm,1,21,2,4,0,0,1,15,0,0,1,18
LVA,1956,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
LVA,1956,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
LVA,1956,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
LVA,1956,1,interm,1,25,114,204,5,5,82,773,5,5,87,884
LVA,1956,1,interm,1,26,15,25,1,1,15,87,1,1,16,100
LVA,1956,1,interm,1,27,58,105,2,2,38,406,2,2,40,465
LVA,1956,1,interm,1,28,78,137,4,5,65,501,4,5,68,573
LVA,1956,1,interm,1,29,42,67,6,8,41,221,6,8,43,253
LVA,1956,1,interm,1,30,62,87,27,23,67,240,28,22,68,274
LVA,1956,1,interm,1,31,40,53,17,16,51,128,17,16,51,146
LVA,1956,1,interm,1,32,3,5,0,1,3,16,0,1,3,19
LVA,1956,1,interm,1,33,90,146,16,17,85,486,16,17,87,556
LVA,1956,1,interm,1,34,105,174,11,28,87,594,10,29,91,680
LVA,1956,1,interm,1,35,15,17,16,9,15,31,15,9,15,36
LVA,1956,1,interm,1,36,2,2,2,0,2,6,2,0,2,7
LVA,1956,1,interm,1,37,24,36,18,1,20,118,16,1,21,135
LVA,1956,1,interm,1,38,46,70,17,11,48,212,18,12,49,242
LVA,1956,1,interm,1,39,13,17,0,7,21,34,0,8,21,39
LVA,1956,1,interm,1,40,18,22,1,16,25,41,1,16,25,46
LVA,1956,1,interm,1,41,2,2,0,1,2,6,0,1,2,6
LVA,1956,1,interm,1,42,8,8,14,3,8,12,13,3,8,14
LVA,1956,1,interm,1,43,24,32,9,13,31,71,8,13,31,82
LVA,1956,1,interm,1,44,6,9,0,2,6,30,0,2,6,34
LVA,1956,1,interm,1,45,7,11,3,2,6,36,3,2,6,42
LVA,1956,1,interm,1,46,28,28,31,25,28,27,29,26,28,31
LVA,1956,1,interm,1,47,82,95,132,32,61,201,119,33,62,230
LVA,1956,1,interm,1,48,232,357,28,47,284,1080,29,47,288,1239
LVA,1956,1,interm,1,49,188,339,0,6,136,1291,0,6,144,1480
LVA,1956,1,interm,1,50,73,108,0,13,104,315,0,14,106,347
LVA,1956,1,interm,1,51,525,863,0,24,630,2861,0,26,646,3275
LVA,1956,1,interm,1,52,3127,5848,11,47,1694,23326,12,48,1861,26707
LVA,1956,1,interm,1,53,163,246,0,14,255,694,0,15,257,795
LVA,1956,1,interm,1,54,15,27,1,2,12,98,1,2,12,112
LVA,1956,1,interm,1,55,20,34,1,3,17,120,1,3,18,136
LVA,1956,1,interm,1,56,2,4,0,0,2,14,0,0,2,16
LVA,1956,1,interm,1,57,47,82,2,5,36,304,2,5,38,348
LVA,1956,1,interm,1,58,443,775,18,47,341,2855,18,48,358,3267
LVA,1956,1,interm,1,59,257,426,0,13,297,1430,0,14,305,1637
LVA,1956,1,interm,1,60,354,648,0,6,233,2516,0,6,251,2880
LVA,1956,1,interm,1,61,753,1390,0,11,467,5452,0,11,505,6241
LVA,1956,1,interm,1,62,19,35,0,0,14,133,0,0,15,153
LVA,1956,1,interm,1,63,533,1013,1,4,242,4124,1,4,273,4720
LVA,1956,1,interm,1,64,92,156,1,7,90,550,1,7,94,628
LVA,1956,1,interm,1,65,15,23,17,5,4,77,16,5,4,88
LVA,1956,1,interm,1,66,382,436,922,11,166,1108,798,11,172,1269
LVA,1956,1,interm,1,67,12,10,40,0,4,13,34,0,4,15
LVA,1956,1,interm,1,68,94,169,17,2,54,658,15,2,59,753
LVA,1956,1,interm,1,69,127,227,17,2,93,844,14,2,98,980
LVA,1956,1,interm,1,70,0,0,0,0,0,0,0,0,0,0
LVA,1956,1,interm,1,71,3,3,0,2,3,7,0,2,3,8
LVA,1956,1,interm,1,72,388,669,11,10,364,2416,10,11,380,2752
LVA,1956,1,interm,1,73,63,86,61,6,68,236,52,6,70,271
LVA,1956,1,interm,1,74,136,212,7,33,165,641,6,34,170,734
LVA,1956,1,interm,1,75,34,63,3,2,14,254,2,2,14,291
LVA,1956,1,interm,1,76,155,211,224,12,99,631,195,12,103,723
LVA,1956,1,interm,1,77,1,1,0,1,1,1,0,1,1,1
LVA,1956,1,interm,1,78,61,93,8,24,61,283,7,25,62,324
LVA,1956,1,interm,1,79,9,15,1,3,9,46,1,3,9,53
LVA,1956,1,interm,1,80,16,29,0,0,10,112,0,0,11,128
LVA,1956,1,interm,1,81,49,79,0,8,57,254,0,9,59,291
LVA,1956,1,interm,1,82,19,26,35,1,7,81,30,1,8,93
LVA,1956,1,interm,1,83,6,10,0,1,7,32,0,1,7,37
LVA,1956,1,interm,1,84,61,96,8,17,60,310,8,17,62,354
LVA,1956,1,interm,1,85,134,206,24,51,128,640,23,51,131,732
LVA,1956,1,interm,1,86,23,39,2,6,18,137,2,6,18,156
LVA,1956,1,interm,1,87,52,90,8,7,36,333,7,7,38,381
LVA,1956,1,interm,1,88,40,76,0,0,20,308,0,0,23,353
LVA,1956,1,interm,1,89,0,0,0,0,0,0,0,0,0,0
LVA,1956,1,interm,1,90,206,129,937,0,0,0,806,0,0,0
LVA,1956,1,interm,1,91,89,57,393,7,0,0,342,7,0,0
LVA,1956,1,interm,1,92,21,13,95,0,0,0,81,0,0,0
LVA,1956,1,interm,1,93,277,325,124,275,293,542,130,277,290,621
LVA,1956,1,interm,1,94,42,51,11,41,46,94,12,41,46,107
LVA,1956,1,interm,1,95,208,205,176,316,122,176,181,311,120,202
LVA,1956,1,interm,1,96,30,38,27,17,24,93,24,17,24,106
LVA,1956,1,interm,1,97,71,81,11,72,99,104,11,75,98,119
LVA,1956,1,interm,1,98,63,68,45,57,76,83,41,59,74,95
LVA,1956,1,interm,1,99,34,39,17,31,39,61,16,32,39,70
LVA,1956,1,interm,1,100,296,349,22,340,353,540,24,348,349,618
LVA,1956,1,interm,1,101,68,81,13,96,50,141,12,98,50,162
LVA,1956,1,interm,1,102,62,69,37,66,61,99,37,66,61,114
LVA,1956,1,interm,1,103,7,9,6,6,5,22,6,6,5,25
LVA,1956,1,interm,1,104,342,396,92,371,393,600,92,377,389,686
LVA,1957,1,interm,1,0,14600,23427,4284,3111,11939,79529,3828,3183,12359,90705
LVA,1957,1,interm,1,1,18,17,56,1,3,38,48,1,3,43
LVA,1957,1,interm,1,2,9,6,38,0,0,1,33,0,0,1
LVA,1957,1,interm,1,3,866,1185,71,436,1210,2820,65,456,1212,3216
LVA,1957,1,interm,1,4,19,17,50,4,18,11,43,5,18,12
LVA,1957,1,interm,1,5,54,49,163,14,18,68,147,13,19,77
LVA,1957,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
LVA,1957,1,interm,1,7,17,22,16,10,13,57,14,10,13,64
LVA,1957,1,interm,1,8,12,11,34,4,5,10,33,4,5,11
LVA,1957,1,interm,1,9,30,47,4,9,34,140,4,10,35,160
LVA,1957,1,interm,1,10,36,63,0,3,30,232,0,4,32,264
LVA,1957,1,interm,1,11,56,97,0,0,56,348,0,0,58,397
LVA,1957,1,interm,1,12,898,1520,0,50,916,5342,0,54,942,6092
LVA,1957,1,interm,1,13,85,146,0,7,75,527,0,7,78,601
LVA,1957,1,interm,1,14,52,94,0,0,37,363,0,0,39,414
LVA,1957,1,interm,1,15,51,89,0,5,44,324,0,5,46,369
LVA,1957,1,interm,1,16,141,245,1,13,120,892,1,14,125,1018
LVA,1957,1,interm,1,17,41,71,0,4,35,258,0,5,37,294
LVA,1957,1,interm,1,18,41,73,0,2,32,271,0,3,34,309
LVA,1957,1,interm,1,19,477,773,0,25,600,2513,0,27,614,2866
LVA,1957,1,interm,1,20,18,33,1,1,11,127,0,1,12,144
LVA,1957,1,interm,1,21,0,0,0,0,0,0,0,0,0,0
LVA,1957,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
LVA,1957,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
LVA,1957,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
LVA,1957,1,interm,1,25,108,195,2,3,76,749,2,3,81,854
LVA,1957,1,interm,1,26,14,24,0,1,14,84,0,1,15,96
LVA,1957,1,interm,1,27,55,100,1,1,35,393,1,1,37,449
LVA,1957,1,interm,1,28,74,130,1,2,61,485,1,3,64,553
LVA,1957,1,interm,1,29,51,78,7,12,58,240,7,12,59,273
LVA,1957,1,interm,1,30,88,120,59,42,82,311,59,43,83,354
LVA,1957,1,interm,1,31,56,73,34,32,60,166,34,33,61,190
LVA,1957,1,interm,1,32,4,6,0,1,4,18,0,1,4,20
LVA,1957,1,interm,1,33,104,169,13,20,100,567,12,21,103,647
LVA,1957,1,interm,1,34,106,156,19,27,137,442,19,27,138,504
LVA,1957,1,interm,1,35,23,32,20,5,22,91,18,5,22,104
LVA,1957,1,interm,1,36,2,3,2,0,2,8,2,0,2,9
LVA,1957,1,interm,1,37,23,31,12,8,28,79,10,8,28,91
LVA,1957,1,interm,1,38,27,43,2,12,21,140,2,13,22,159
LVA,1957,1,interm,1,39,7,10,0,6,8,25,0,6,8,28
LVA,1957,1,interm,1,40,23,27,0,14,41,42,0,15,40,48
LVA,1957,1,interm,1,41,1,2,0,1,2,4,0,1,2,5
LVA,1957,1,interm,1,42,7,6,12,7,2,8,10,6,2,10
LVA,1957,1,interm,1,43,16,22,7,9,19,51,7,9,19,58
LVA,1957,1,interm,1,44,4,7,0,1,4,22,0,1,4,25
LVA,1957,1,interm,1,45,5,8,3,1,4,28,2,1,4,31
LVA,1957,1,interm,1,46,21,22,23,14,28,21,22,15,28,24
LVA,1957,1,interm,1,47,60,64,127,17,40,122,114,18,40,140
LVA,1957,1,interm,1,48,251,383,26,87,274,1160,27,88,276,1325
LVA,1957,1,interm,1,49,233,421,0,12,158,1618,0,13,168,1847
LVA,1957,1,interm,1,50,82,130,0,12,98,426,0,12,100,475
LVA,1957,1,interm,1,51,597,972,0,19,749,3192,0,21,764,3641
LVA,1957,1,interm,1,52,3335,6234,5,21,1783,25056,4,23,1947,28583
LVA,1957,1,interm,1,53,90,130,0,10,157,332,0,10,157,379
