country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
MDA,1965,1,interm,1,0,14067,23401,5276,2143,10045,81293,4641,2207,10445,94744
MDA,1965,1,interm,1,1,98,63,435,2,5,2,375,2,5,2
MDA,1965,1,interm,1,2,114,76,495,3,1,32,426,3,1,32
MDA,1965,1,interm,1,3,423,494,22,233,760,852,20,248,777,789
MDA,1965,1,interm,1,4,14,13,30,3,8,30,26,4,8,26
MDA,1965,1,interm,1,5,36,36,65,8,47,34,59,8,47,41
MDA,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,7,48,51,41,26,72,66,38,26,74,63
MDA,1965,1,interm,1,8,13,11,30,5,14,0,27,5,14,0
MDA,1965,1,interm,1,9,38,44,13,4,72,94,13,4,74,83
MDA,1965,1,interm,1,10,59,99,0,6,59,345,0,7,60,395
MDA,1965,1,interm,1,11,51,78,0,0,60,293,0,0,63,290
MDA,1965,1,interm,1,12,431,631,0,21,608,2088,0,23,641,2100
MDA,1965,1,interm,1,13,25,41,0,1,28,146,0,1,30,157
MDA,1965,1,interm,1,14,67,98,0,6,86,337,0,6,89,338
MDA,1965,1,interm,1,15,85,131,0,4,104,453,0,4,108,478
MDA,1965,1,interm,1,16,78,121,0,3,91,436,0,3,95,452
MDA,1965,1,interm,1,17,27,41,0,1,36,139,0,1,37,145
MDA,1965,1,interm,1,18,37,57,0,1,44,207,0,1,47,209
MDA,1965,1,interm,1,19,320,432,0,16,600,1115,0,16,634,1100
MDA,1965,1,interm,1,20,33,47,1,8,36,162,1,8,38,163
MDA,1965,1,interm,1,21,3,4,0,0,3,17,0,0,3,16
MDA,1965,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,25,81,144,0,0,31,647,0,0,33,681
MDA,1965,1,interm,1,26,8,7,4,11,9,0,4,12,9,0
MDA,1965,1,interm,1,27,56,93,3,5,37,382,3,5,40,399
MDA,1965,1,interm,1,28,33,50,4,6,32,178,3,6,33,186
MDA,1965,1,interm,1,29,21,25,4,12,37,34,4,12,37,41
MDA,1965,1,interm,1,30,65,84,20,30,89,200,19,30,92,211
MDA,1965,1,interm,1,31,41,47,17,23,51,117,17,22,53,102
MDA,1965,1,interm,1,32,0,1,0,0,1,1,0,0,1,1
MDA,1965,1,interm,1,33,104,149,11,17,134,478,11,17,141,487
MDA,1965,1,interm,1,34,40,52,7,6,58,160,7,6,60,149
MDA,1965,1,interm,1,35,49,76,0,8,45,292,0,8,45,297
MDA,1965,1,interm,1,36,1,1,0,0,0,3,0,0,0,2
MDA,1965,1,interm,1,37,14,12,33,3,11,21,29,3,10,16
MDA,1965,1,interm,1,38,10,9,17,10,9,0,17,10,9,0
MDA,1965,1,interm,1,39,1,3,0,0,0,13,0,0,0,14
MDA,1965,1,interm,1,40,52,61,7,15,112,89,6,16,113,88
MDA,1965,1,interm,1,41,7,8,0,1,17,9,0,2,16,9
MDA,1965,1,interm,1,42,20,20,49,3,12,39,43,4,12,43
MDA,1965,1,interm,1,43,7,14,1,2,3,45,1,2,3,62
MDA,1965,1,interm,1,44,4,8,0,0,2,32,0,0,2,35
MDA,1965,1,interm,1,45,6,10,2,1,4,37,2,1,4,41
MDA,1965,1,interm,1,46,34,32,14,40,52,0,14,41,52,0
MDA,1965,1,interm,1,47,60,66,113,13,45,144,100,13,46,160
MDA,1965,1,interm,1,48,341,541,32,139,321,1664,34,142,321,1969
MDA,1965,1,interm,1,49,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,50,522,1060,0,5,154,4282,0,6,169,5137
MDA,1965,1,interm,1,51,290,453,0,27,411,1358,0,29,429,1541
MDA,1965,1,interm,1,52,2109,4289,1,16,674,17154,1,18,724,20721
MDA,1965,1,interm,1,53,1225,2475,19,16,410,9856,16,17,441,11893
MDA,1965,1,interm,1,54,7,13,1,1,3,47,1,1,3,58
MDA,1965,1,interm,1,55,7,14,0,5,3,42,0,6,3,59
MDA,1965,1,interm,1,56,0,1,0,0,0,4,0,0,0,5
MDA,1965,1,interm,1,57,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,58,27,37,45,4,16,99,39,4,16,122
MDA,1965,1,interm,1,59,417,780,0,20,297,2863,0,22,308,3436
MDA,1965,1,interm,1,60,565,1134,0,8,209,4506,0,9,226,5412
MDA,1965,1,interm,1,61,1443,2883,0,20,552,11447,0,22,600,13718
MDA,1965,1,interm,1,62,470,979,0,0,85,4022,0,0,97,4855
MDA,1965,1,interm,1,63,82,170,0,1,22,677,0,1,23,830
MDA,1965,1,interm,1,64,9,13,1,3,6,53,1,3,7,50
MDA,1965,1,interm,1,65,27,22,97,2,4,34,84,1,4,34
MDA,1965,1,interm,1,66,532,483,1649,31,234,756,1423,32,243,844
MDA,1965,1,interm,1,67,41,26,180,0,3,0,155,0,3,0
MDA,1965,1,interm,1,68,30,52,0,2,23,201,0,2,26,219
MDA,1965,1,interm,1,69,860,1578,22,15,600,5984,20,17,637,6957
MDA,1965,1,interm,1,70,2,2,0,1,6,0,0,1,6,0
MDA,1965,1,interm,1,71,2,2,0,1,6,0,0,1,6,0
MDA,1965,1,interm,1,72,0,0,0,0,0,1,0,0,0,1
MDA,1965,1,interm,1,73,219,371,40,13,193,1310,35,14,202,1505
MDA,1965,1,interm,1,74,94,113,1,30,170,263,1,33,171,233
MDA,1965,1,interm,1,75,43,65,13,5,29,258,11,6,29,265
MDA,1965,1,interm,1,76,65,84,29,14,85,240,26,14,85,239
MDA,1965,1,interm,1,77,4,5,0,0,8,11,0,1,9,11
MDA,1965,1,interm,1,78,316,470,9,47,427,1463,9,50,440,1567
MDA,1965,1,interm,1,79,14,23,2,4,17,65,2,4,17,78
MDA,1965,1,interm,1,80,28,45,3,3,30,156,3,3,30,172
MDA,1965,1,interm,1,81,32,33,10,8,68,42,9,9,67,33
MDA,1965,1,interm,1,82,12,19,2,2,11,64,1,2,11,73
MDA,1965,1,interm,1,83,16,22,17,3,5,82,16,4,5,84
MDA,1965,1,interm,1,84,21,24,11,9,28,57,11,9,29,53
MDA,1965,1,interm,1,85,85,114,11,49,107,285,11,50,106,313
MDA,1965,1,interm,1,86,1,1,0,1,1,0,0,1,1,0
MDA,1965,1,interm,1,87,11,15,0,4,11,52,0,4,11,50
MDA,1965,1,interm,1,88,45,93,0,0,8,383,0,0,9,462
MDA,1965,1,interm,1,89,0,0,0,0,0,0,0,0,0,0
MDA,1965,1,interm,1,90,154,96,702,0,0,0,603,0,0,0
MDA,1965,1,interm,1,91,91,59,392,5,3,14,341,5,3,11
MDA,1965,1,interm,1,92,1,1,5,0,0,0,5,0,0,0
MDA,1965,1,interm,1,93,303,316,109,381,335,345,107,386,331,348
MDA,1965,1,interm,1,94,62,74,15,45,88,135,15,45,89,142
MDA,1965,1,interm,1,95,129,127,119,137,119,151,122,135,121,126
MDA,1965,1,interm,1,96,58,85,74,19,32,229,67,20,32,296
MDA,1965,1,interm,1,97,61,65,6,56,103,66,6,60,101,57
MDA,1965,1,interm,1,98,46,57,50,31,34,126,45,31,33,151
MDA,1965,1,interm,1,99,66,75,83,32,62,149,72,32,63,165
MDA,1965,1,interm,1,100,156,178,11,135,248,245,11,142,247,254
MDA,1965,1,interm,1,101,46,47,3,52,66,58,3,52,64,47
MDA,1965,1,interm,1,102,9,13,4,7,10,29,3,7,9,37
MDA,1965,1,interm,1,103,1,1,1,1,1,1,1,1,1,1
MDA,1965,1,interm,1,104,151,158,71,171,177,174,69,171,174,180
MDA,1966,1,interm,1,0,13964,22826,5052,2295,10804,78112,4470,2349,11208,90399
MDA,1966,1,interm,1,1,101,66,439,5,1,24,378,5,1,21
MDA,1966,1,interm,1,2,105,66,473,0,1,5,406,0,1,4
MDA,1966,1,interm,1,3,485,580,10,194,918,1107,9,205,933,1038
MDA,1966,1,interm,1,4,22,24,26,4,32,41,24,3,31,43
MDA,1966,1,interm,1,5,43,43,84,24,22,82,77,23,23,82
MDA,1966,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
MDA,1966,1,interm,1,7,47,52,34,18,72,92,33,19,73,86
MDA,1966,1,interm,1,8,14,18,17,12,8,36,15,11,8,51
MDA,1966,1,interm,1,9,41,58,13,12,59,143,11,12,61,163
MDA,1966,1,interm,1,10,49,75,0,5,71,221,0,6,73,250
MDA,1966,1,interm,1,11,45,68,0,2,36,299,0,2,37,284
MDA,1966,1,interm,1,12,431,628,0,30,625,2002,0,32,655,2041
MDA,1966,1,interm,1,13,23,33,1,3,28,113,1,3,29,111
MDA,1966,1,interm,1,14,66,90,2,8,104,266,2,8,106,266
MDA,1966,1,interm,1,15,78,110,1,3,118,350,1,4,124,347
MDA,1966,1,interm,1,16,71,101,1,2,106,324,1,2,113,321
MDA,1966,1,interm,1,17,25,35,0,2,41,104,0,2,42,103
MDA,1966,1,interm,1,18,32,44,0,0,47,151,0,0,50,138
MDA,1966,1,interm,1,19,310,401,2,20,558,1132,2,21,587,1016
MDA,1966,1,interm,1,20,21,29,4,10,25,84,4,10,27,83
MDA,1966,1,interm,1,21,8,13,0,0,10,47,0,0,11,46
MDA,1966,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
MDA,1966,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
MDA,1966,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
MDA,1966,1,interm,1,25,38,61,0,2,43,213,0,2,45,231
MDA,1966,1,interm,1,26,5,7,0,3,3,29,0,4,3,25
MDA,1966,1,interm,1,27,47,73,1,3,41,296,1,3,44,295
MDA,1966,1,interm,1,28,27,39,2,4,31,138,2,4,33,138
MDA,1966,1,interm,1,29,21,24,5,12,36,36,5,12,36,36
MDA,1966,1,interm,1,30,49,56,47,10,63,136,48,10,64,122
MDA,1966,1,interm,1,31,32,37,19,15,49,59,19,15,52,60
MDA,1966,1,interm,1,32,0,1,0,0,1,1,0,0,1,1
MDA,1966,1,interm,1,33,102,148,12,18,110,527,12,17,115,526
MDA,1966,1,interm,1,34,26,36,9,7,40,84,8,7,40,96
MDA,1966,1,interm,1,35,61,100,0,12,44,385,0,13,47,410
MDA,1966,1,interm,1,36,0,0,1,0,0,0,1,0,0,0
MDA,1966,1,interm,1,37,9,6,28,4,3,0,25,4,3,0
MDA,1966,1,interm,1,38,11,11,14,5,9,29,14,5,8,25
MDA,1966,1,interm,1,39,1,2,0,0,0,6,0,0,0,9
MDA,1966,1,interm,1,40,47,54,10,14,92,92,10,15,91,87
MDA,1966,1,interm,1,41,6,7,0,1,13,10,0,1,14,9
