country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
RUS,1965,1,interm,1,0,15635,24616,3924,3306,14492,81611,3487,3409,15025,92145
RUS,1965,1,interm,1,1,20,19,62,3,7,29,54,3,7,34
RUS,1965,1,interm,1,2,7,6,24,1,2,7,21,1,2,8
RUS,1965,1,interm,1,3,615,751,26,220,1137,1529,24,234,1164,1460
RUS,1965,1,interm,1,4,12,12,29,3,8,19,25,3,8,21
RUS,1965,1,interm,1,5,15,16,26,6,13,28,24,6,13,29
RUS,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
RUS,1965,1,interm,1,7,16,20,13,7,13,56,12,7,13,59
RUS,1965,1,interm,1,8,21,18,52,8,15,16,47,8,15,15
RUS,1965,1,interm,1,9,18,21,6,7,27,47,5,7,28,47
RUS,1965,1,interm,1,10,54,83,1,3,68,281,1,3,71,299
RUS,1965,1,interm,1,11,188,293,0,4,208,1090,0,4,221,1118
RUS,1965,1,interm,1,12,1181,1695,0,71,1695,5579,0,78,1772,5525
RUS,1965,1,interm,1,13,62,91,1,6,77,316,1,7,80,319
RUS,1965,1,interm,1,14,54,81,0,6,64,283,0,6,67,291
RUS,1965,1,interm,1,15,83,122,1,5,114,407,1,5,120,408
RUS,1965,1,interm,1,16,117,168,0,7,173,534,0,7,181,538
RUS,1965,1,interm,1,17,39,59,0,3,47,209,0,3,50,214
RUS,1965,1,interm,1,18,53,72,0,5,91,202,0,6,94,199
RUS,1965,1,interm,1,19,685,920,1,25,1161,2768,1,28,1221,2574
RUS,1965,1,interm,1,20,14,25,0,1,11,91,0,1,12,106
RUS,1965,1,interm,1,21,4,7,0,0,3,23,0,0,4,28
RUS,1965,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
RUS,1965,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
RUS,1965,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
RUS,1965,1,interm,1,25,70,128,0,0,35,533,0,0,38,589
RUS,1965,1,interm,1,26,11,18,0,3,8,65,0,3,9,72
RUS,1965,1,interm,1,27,70,119,0,1,55,470,0,1,58,506
RUS,1965,1,interm,1,28,49,70,5,3,66,229,4,3,69,230
RUS,1965,1,interm,1,29,32,36,13,16,53,58,13,16,54,54
RUS,1965,1,interm,1,30,65,79,37,26,84,192,36,26,87,184
RUS,1965,1,interm,1,31,50,59,17,23,77,119,17,23,79,115
RUS,1965,1,interm,1,32,1,2,0,0,2,6,0,0,2,6
RUS,1965,1,interm,1,33,104,147,8,18,149,443,8,19,155,452
