country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
UKR,1965,1,interm,1,0,13056,21315,2760,2295,11351,72851,2464,2366,11780,83286
UKR,1965,1,interm,1,1,5,5,14,1,2,9,12,1,2,10
UKR,1965,1,interm,1,2,21,15,85,1,4,7,73,1,4,7
UKR,1965,1,interm,1,3,553,671,16,238,984,1378,15,253,1002,1305
UKR,1965,1,interm,1,4,13,11,38,7,5,9,33,7,5,10
UKR,1965,1,interm,1,5,14,15,22,4,16,25,20,4,16,24
UKR,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
UKR,1965,1,interm,1,7,13,16,11,6,13,40,11,6,13,40
UKR,1965,1,interm,1,8,12,11,28,6,11,6,26,6,11,6
UKR,1965,1,interm,1,9,15,19,7,3,25,45,7,3,25,46
UKR,1965,1,interm,1,10,30,47,2,2,35,159,2,3,36,174
UKR,1965,1,interm,1,11,64,97,0,1,76,355,0,1,79,359
UKR,1965,1,interm,1,12,692,964,1,51,1070,3016,1,55,1116,2937
UKR,1965,1,interm,1,13,44,65,1,6,59,212,1,6,61,215
UKR,1965,1,interm,1,14,45,68,0,5,55,234,0,6,58,240
UKR,1965,1,interm,1,15,56,79,2,5,82,254,2,5,85,250
UKR,1965,1,interm,1,16,102,144,0,8,153,457,0,9,159,451
UKR,1965,1,interm,1,17,32,47,0,4,41,163,0,4,43,160
UKR,1965,1,interm,1,18,37,48,1,3,68,127,1,4,70,121
UKR,1965,1,interm,1,19,506,677,0,21,866,2015,0,23,907,1880
UKR,1965,1,interm,1,20,13,23,0,1,11,83,0,1,11,97
UKR,1965,1,interm,1,21,2,3,0,0,2,12,0,0,2,13
UKR,1965,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
UKR,1965,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
UKR,1965,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
UKR,1965,1,interm,1,25,52,94,0,1,25,398,0,1,27,435
UKR,1965,1,interm,1,26,11,16,0,4,10,55,0,4,10,58
UKR,1965,1,interm,1,27,62,102,0,1,56,401,0,1,60,420
UKR,1965,1,interm,1,28,44,61,5,2,64,198,5,2,67,193
UKR,1965,1,interm,1,29,27,30,11,15,47,39,10,15,48,37
UKR,1965,1,interm,1,30,71,83,44,29,95,184,43,29,99,175
UKR,1965,1,interm,1,31,45,51,14,26,71,89,14,26,73,85
UKR,1965,1,interm,1,32,0,1,0,0,1,2,0,0,1,2
UKR,1965,1,interm,1,33,95,132,10,20,137,383,9,21,143,391
UKR,1965,1,interm,1,34,46,55,17,21,76,100,17,21,77,99
UKR,1965,1,interm,1,35,14,19,1,3,17,63,1,3,18,62
