country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
CZE,1994,1,short,1,0,13622,23315,936,1431,11749,83230,844,1470,12250,95488
CZE,1994,1,short,1,1,43,64,13,12,49,183,12,12,51,212
CZE,1994,1,short,1,2,3530,5533,69,185,4216,19098,68,194,4412,20428
CZE,1994,1,short,1,3,11,17,9,3,8,53,8,3,8,61
CZE,1994,1,short,1,4,129,214,17,7,106,803,15,7,111,882
CZE,1994,1,short,1,5,11,13,0,4,25,16,0,4,25,14
CZE,1994,1,short,1,6,107,145,52,37,127,376,49,38,130,422
CZE,1994,1,short,1,7,4211,7433,15,121,3484,27729,14,129,3665,31605
CZE,1994,1,short,1,8,1919,3798,4,31,841,14894,3,32,894,17889
CZE,1994,1,short,1,9,1092,2227,1,18,434,8601,1,19,460,10599
CZE,1994,1,short,1,10,280,553,22,19,125,2077,20,19,129,2567
CZE,1994,1,short,1,11,330,592,4,12,230,2290,4,12,243,2595
CZE,1994,1,short,1,12,552,826,7,77,801,2425,6,83,814,2697
CZE,1994,1,short,1,13,5,9,0,0,8,26,0,0,9,30
CZE,1994,1,short,1,14,201,384,2,5,113,1478,2,6,117,1760
CZE,1994,1,short,1,15,118,75,516,10,3,0,445,9,3,0
CZE,1994,1,short,1,16,1085,1433,206,891,1180,3183,198,901,1180,3726
CZE,1995,1,short,3,0,13821,24019,899,1400,11434,86125,808,1441,11927,99733
CZE,1995,1,short,3,1,26,41,6,9,22,135,5,9,22,150
CZE,1995,1,short,3,2,3472,5498,65,149,3986,19363,64,156,4175,20723
CZE,1995,1,short,3,3,9,14,5,2,8,45,4,2,8,52
CZE,1995,1,short,3,4,94,162,4,8,74,608,4,8,78,683
CZE,1995,1,short,3,5,8,10,0,4,14,16,0,4,14,18
CZE,1995,1,short,3,6,114,161,46,38,130,447,43,38,133,501
CZE,1995,1,short,3,7,4332,7774,8,116,3376,29175,8,125,3559,33547
CZE,1995,1,short,3,8,1856,3696,13,31,803,14409,12,33,851,17428
CZE,1995,1,short,3,9,1296,2713,0,18,459,10390,0,19,485,13046
CZE,1995,1,short,3,10,377,738,41,20,183,2744,36,21,191,3394
CZE,1995,1,short,3,11,288,522,8,14,202,1973,8,14,214,2279
CZE,1995,1,short,3,12,549,804,14,80,842,2255,13,86,857,2501
CZE,1995,1,short,3,13,7,11,0,3,9,28,0,3,9,34
CZE,1995,1,short,3,14,184,338,9,5,137,1240,8,6,142,1476
CZE,1995,1,short,3,15,118,75,524,5,3,0,452,5,3,0
CZE,1995,1,short,3,16,1091,1464,156,899,1185,3297,151,910,1186,3899
CZE,1996,1,short,3,0,13161,22802,703,1298,11274,81313,638,1336,11764,94075
CZE,1996,1,short,3,1,34,48,18,8,41,128,16,9,43,144
