country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
DEUTNP,1998,1,short,3,0,9722,17475,553,1001,7130,63349,497,1024,7427,74822
DEUTNP,1998,1,short,3,1,98,157,11,23,98,509,10,25,101,583
DEUTNP,1998,1,short,3,2,2688,4527,31,115,2566,16543,31,121,2692,18373
DEUTNP,1998,1,short,3,3,16,29,3,3,10,105,3,3,10,126
DEUTNP,1998,1,short,3,4,206,374,9,14,141,1395,9,15,147,1636
DEUTNP,1998,1,short,3,5,156,205,1,80,257,418,1,83,258,474
DEUTNP,1998,1,short,3,6,180,328,26,27,108,1183,24,27,111,1427
DEUTNP,1998,1,short,3,7,3236,6260,12,81,1847,23760,11,86,1940,28623
DEUTNP,1998,1,short,3,8,859,1769,4,20,307,6842,3,21,325,8480
DEUTNP,1998,1,short,3,9,304,616,1,7,130,2359,0,8,138,2911
DEUTNP,1998,1,short,3,10,221,473,5,9,67,1772,5,9,70,2288
DEUTNP,1998,1,short,3,11,454,882,4,10,194,3523,4,11,207,4146
DEUTNP,1998,1,short,3,12,510,789,4,59,702,2399,4,64,720,2701
DEUTNP,1998,1,short,3,13,18,32,1,2,12,117,1,2,13,137
DEUTNP,1998,1,short,3,14,122,248,1,3,55,941,0,3,58,1167
DEUTNP,1998,1,short,3,15,85,56,357,8,8,9,308,8,8,10
DEUTNP,1998,1,short,3,16,570,730,83,539,628,1474,81,539,629,1739
DEUTNP,1999,1,short,3,0,9495,17079,545,1000,6905,61955,491,1021,7189,73208
DEUTNP,1999,1,short,3,1,109,176,12,25,101,590,11,26,104,676
DEUTNP,1999,1,short,3,2,2615,4386,39,114,2515,16016,39,119,2633,17747
DEUTNP,1999,1,short,3,3,18,31,4,2,12,110,4,2,12,132
DEUTNP,1999,1,short,3,4,209,382,9,14,143,1424,9,15,150,1669
DEUTNP,1999,1,short,3,5,152,198,0,86,246,397,0,89,248,448
DEUTNP,1999,1,short,3,6,176,320,22,28,108,1154,21,28,111,1387
DEUTNP,1999,1,short,3,7,3160,6137,15,78,1776,23284,14,83,1865,28124
DEUTNP,1999,1,short,3,8,803,1658,3,17,275,6444,3,18,290,7971
DEUTNP,1999,1,short,3,9,301,613,1,7,128,2343,1,7,135,2901
DEUTNP,1999,1,short,3,10,229,491,6,8,68,1847,5,9,71,2375
DEUTNP,1999,1,short,3,11,453,881,4,10,193,3518,4,10,206,4147
DEUTNP,1999,1,short,3,12,494,767,5,56,677,2333,4,61,695,2639
DEUTNP,1999,1,short,3,13,18,32,1,2,14,114,1,2,14,137
DEUTNP,1999,1,short,3,14,121,246,2,3,49,938,2,4,52,1164
DEUTNP,1999,1,short,3,15,81,54,342,9,6,9,295,9,6,10
DEUTNP,1999,1,short,3,16,555,707,81,541,595,1435,79,540,596,1682
DEUTNP,2000,1,short,3,0,9229,16587,520,966,6798,60010,467,987,7072,70958
DEUTNP,2000,1,short,3,1,121,199,13,23,111,682,11,24,113,780
DEUTNP,2000,1,short,3,2,2586,4334,34,107,2504,15815,34,112,2627,17505
DEUTNP,2000,1,short,3,3,19,34,4,2,11,122,3,2,12,148
DEUTNP,2000,1,short,3,4,208,381,12,13,138,1422,11,13,144,1674
DEUTNP,2000,1,short,3,5,138,177,0,81,223,347,0,84,225,390
DEUTNP,2000,1,short,3,6,178,318,25,28,116,1138,24,28,120,1360
DEUTNP,2000,1,short,3,7,3027,5905,15,75,1683,22354,14,80,1765,27113
DEUTNP,2000,1,short,3,8,732,1502,3,16,272,5808,2,17,286,7180
DEUTNP,2000,1,short,3,9,276,564,0,7,116,2152,0,7,122,2673
DEUTNP,2000,1,short,3,10,231,498,5,7,67,1869,5,7,71,2417
DEUTNP,2000,1,short,3,11,447,869,5,10,190,3468,4,10,202,4092
DEUTNP,2000,1,short,3,12,501,776,4,55,689,2364,4,60,706,2666
DEUTNP,2000,1,short,3,13,15,27,0,1,11,102,0,1,12,119
DEUTNP,2000,1,short,3,14,117,238,1,3,47,911,0,3,49,1132
