country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
GBRTENW,2001,1,short,3,0,8452,15433,590,912,5524,56689,526,933,5772,67315
GBRTENW,2001,1,short,3,1,71,117,26,20,51,382,23,21,52,461
GBRTENW,2001,1,short,3,2,2388,4145,30,104,1989,15536,29,109,2099,17453
GBRTENW,2001,1,short,3,3,15,26,5,5,10,84,4,5,10,105
GBRTENW,2001,1,short,3,4,120,211,13,17,83,767,12,18,87,895
GBRTENW,2001,1,short,3,5,171,341,1,74,54,1165,1,75,54,1538
GBRTENW,2001,1,short,3,6,219,397,39,44,127,1401,36,45,131,1708
GBRTENW,2001,1,short,3,7,2329,4336,11,65,1565,16390,10,69,1645,19291
GBRTENW,2001,1,short,3,8,738,1528,3,17,264,5884,3,17,277,7327
GBRTENW,2001,1,short,3,9,289,556,1,8,131,2217,1,8,139,2601
GBRTENW,2001,1,short,3,10,467,1036,12,12,108,3869,10,12,113,5089
GBRTENW,2001,1,short,3,11,599,1193,10,14,228,4719,9,15,244,5667
GBRTENW,2001,1,short,3,12,371,616,8,44,428,1972,7,48,435,2328
GBRTENW,2001,1,short,3,13,58,117,1,3,26,441,1,3,27,548
GBRTENW,2001,1,short,3,14,113,243,1,4,31,925,1,4,32,1183
GBRTENW,2001,1,short,3,15,100,72,377,16,23,34,325,16,24,36
GBRTENW,2001,1,short,3,16,404,501,54,465,406,905,53,468,404,1087
GBRTENW,2002,1,short,3,0,8349,15287,596,884,5445,56059,532,905,5686,66749
GBRTENW,2002,1,short,3,1,71,121,19,16,54,398,17,17,55,484
GBRTENW,2002,1,short,3,2,2371,4113,37,98,1973,15434,37,102,2083,17322
GBRTENW,2002,1,short,3,3,16,27,6,4,12,88,5,4,13,106
GBRTENW,2002,1,short,3,4,120,215,15,16,77,783,14,17,81,925
GBRTENW,2002,1,short,3,5,167,337,1,71,48,1150,1,72,49,1527
GBRTENW,2002,1,short,3,6,224,406,36,43,134,1439,34,44,137,1751
GBRTENW,2002,1,short,3,7,2241,4196,11,66,1500,15782,10,70,1572,18696
GBRTENW,2002,1,short,3,8,738,1531,3,16,265,5879,3,17,278,7343
GBRTENW,2002,1,short,3,9,282,541,0,10,137,2130,0,11,145,2508
GBRTENW,2002,1,short,3,10,463,1028,10,13,109,3834,9,14,113,5049
GBRTENW,2002,1,short,3,11,607,1216,10,14,223,4804,9,14,239,5797
GBRTENW,2002,1,short,3,12,379,624,8,47,438,2003,7,50,446,2346
GBRTENW,2002,1,short,3,13,59,120,1,2,28,447,1,2,30,559
GBRTENW,2002,1,short,3,14,123,265,1,4,33,1007,1,4,35,1290
GBRTENW,2002,1,short,3,15,102,75,389,13,24,40,336,14,24,45
GBRTENW,2002,1,short,3,16,385,473,48,450,389,842,47,454,387,1001
GBRTENW,2003,1,short,3,0,8256,15160,573,858,5405,55452,510,881,5645,66229
GBRTENW,2003,1,short,3,1,74,127,20,16,57,420,18,17,57,512
GBRTENW,2003,1,short,3,2,2334,4064,32,96,1927,15242,32,101,2035,17158
GBRTENW,2003,1,short,3,3,16,27,5,3,9,96,5,3,9,116
GBRTENW,2003,1,short,3,4,120,214,15,18,75,785,13,18,78,923
GBRTENW,2003,1,short,3,5,161,327,1,61,49,1124,1,63,49,1493
GBRTENW,2003,1,short,3,6,232,424,35,47,134,1497,33,48,138,1835
GBRTENW,2003,1,short,3,7,2155,4043,11,60,1451,15157,10,63,1522,18008
GBRTENW,2003,1,short,3,8,704,1463,3,19,251,5601,3,20,263,7016
GBRTENW,2003,1,short,3,9,275,526,0,10,134,2073,0,11,142,2437
GBRTENW,2003,1,short,3,10,482,1068,12,12,117,3980,11,12,123,5239
GBRTENW,2003,1,short,3,11,636,1274,11,13,242,5014,10,14,259,6060
GBRTENW,2003,1,short,3,12,394,643,12,50,475,2015,11,54,483,2373
GBRTENW,2003,1,short,3,13,60,122,1,3,26,458,1,3,27,573
GBRTENW,2003,1,short,3,14,127,277,2,3,29,1059,2,4,31,1363
GBRTENW,2003,1,short,3,15,98,72,366,12,26,45,316,12,26,48
GBRTENW,2003,1,short,3,16,389,487,48,435,403,887,46,439,401,1074
GBRTENW,2004,1,short,3,0,7803,14306,552,821,5119,52324,492,844,5341,62445
GBRTENW,2004,1,short,3,1,73,129,14,14,55,431,13,15,56,528
GBRTENW,2004,1,short,3,2,2276,3975,32,96,1831,14995,32,100,1934,16878
GBRTENW,2004,1,short,3,3,14,25,4,3,10,83,4,3,11,100
GBRTENW,2004,1,short,3,4,110,196,14,17,66,727,13,17,69,852
GBRTENW,2004,1,short,3,5,155,313,1,58,51,1068,1,60,51,1420
GBRTENW,2004,1,short,3,6,214,388,32,38,135,1375,29,38,139,1667
GBRTENW,2004,1,short,3,7,1996,3750,10,64,1336,14037,10,68,1399,16713
GBRTENW,2004,1,short,3,8,635,1320,4,18,230,5039,4,20,241,6320
GBRTENW,2004,1,short,3,9,253,484,1,9,124,1905,1,10,131,2240
GBRTENW,2004,1,short,3,10,429,949,10,11,105,3538,9,12,109,4652
GBRTENW,2004,1,short,3,11,596,1198,11,11,230,4695,11,11,246,5694
GBRTENW,2004,1,short,3,12,381,624,8,44,464,1963,7,47,473,2307
GBRTENW,2004,1,short,3,13,59,118,1,3,26,446,1,3,28,554
GBRTENW,2004,1,short,3,14,129,282,1,2,31,1071,1,2,33,1386
GBRTENW,2004,1,short,3,15,98,72,367,15,24,38,316,15,24,43
GBRTENW,2004,1,short,3,16,384,483,42,417,400,913,41,422,398,1090
GBRTENW,2005,1,short,3,0,7631,14016,555,784,5035,51121,494,807,5253,61165
GBRTENW,2005,1,short,3,1,85,153,20,14,56,524,17,15,57,646
GBRTENW,2005,1,short,3,2,2229,3901,30,86,1801,14695,29,90,1903,16567
GBRTENW,2005,1,short,3,3,15,26,4,3,9,87,4,3,10,107
GBRTENW,2005,1,short,3,4,106,190,12,14,72,681,11,14,75,816
GBRTENW,2005,1,short,3,5,157,311,0,62,60,1051,0,64,60,1391
GBRTENW,2005,1,short,3,6,221,401,29,39,135,1435,27,39,139,1735
GBRTENW,2005,1,short,3,7,1901,3581,11,64,1268,13365,10,69,1329,15965
GBRTENW,2005,1,short,3,8,596,1241,4,16,216,4730,4,17,226,5947
GBRTENW,2005,1,short,3,9,239,459,1,9,120,1793,1,9,126,2120
GBRTENW,2005,1,short,3,10,431,952,13,11,109,3543,11,11,113,4658
GBRTENW,2005,1,short,3,11,604,1215,9,11,234,4760,9,11,250,5778
GBRTENW,2005,1,short,3,12,380,621,7,39,472,1939,6,42,481,2284
GBRTENW,2005,1,short,3,13,60,121,1,3,27,453,1,3,28,568
GBRTENW,2005,1,short,3,14,130,285,1,3,32,1079,1,3,33,1399
GBRTENW,2005,1,short,3,15,98,72,371,13,25,41,320,13,25,45
GBRTENW,2005,1,short,3,16,380,486,43,398,398,944,42,402,397,1139
GBRTENW,2006,1,short,3,0,7395,13498,555,840,4999,48900,496,862,5209,58494
GBRTENW,2006,1,short,3,1,102,191,17,14,64,665,16,15,66,830
GBRTENW,2006,1,short,3,2,2214,3858,36,105,1807,14468,36,109,1909,16302
GBRTENW,2006,1,short,3,3,15,25,4,3,13,79,4,3,13,96
GBRTENW,2006,1,short,3,4,101,180,14,15,64,652,13,15,66,776
GBRTENW,2006,1,short,3,5,153,312,0,58,47,1070,0,60,47,1424
GBRTENW,2006,1,short,3,6,216,387,33,42,139,1361,31,42,143,1646
GBRTENW,2006,1,short,3,7,1762,3302,10,66,1224,12230,9,70,1278,14619
GBRTENW,2006,1,short,3,8,562,1176,3,16,201,4472,3,17,210,5642
GBRTENW,2006,1,short,3,9,232,441,1,11,126,1710,1,12,132,2017
GBRTENW,2006,1,short,3,10,395,868,9,10,105,3235,9,11,110,4238
GBRTENW,2006,1,short,3,11,571,1150,14,11,220,4492,13,11,236,5465
