country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
LTU,1956,1,short,1,0,13788,21534,5539,2927,11852,70478,4895,2996,12235,80631
LTU,1956,1,short,1,1,1385,1861,767,573,1573,4655,682,590,1585,5325
LTU,1956,1,short,1,2,2266,3783,73,166,2391,12966,70,173,2464,14834
LTU,1956,1,short,1,3,39,56,21,0,52,161,18,0,52,184
LTU,1956,1,short,1,4,34,51,31,15,13,167,27,15,14,191
LTU,1956,1,short,1,5,20,28,1,16,22,68,1,17,22,77
LTU,1956,1,short,1,6,124,153,121,65,116,342,109,67,115,392
LTU,1956,1,short,1,7,2392,4197,43,222,1877,15498,46,229,1973,17730
LTU,1956,1,short,1,8,755,1304,0,40,705,4684,0,42,733,5359
LTU,1956,1,short,1,9,1267,2332,9,36,767,9149,10,38,829,10466
LTU,1956,1,short,1,10,985,1344,1535,46,550,4143,1327,48,576,4740
LTU,1956,1,short,1,11,1617,2844,138,49,1268,10582,120,51,1338,12107
LTU,1956,1,short,1,12,643,1001,302,84,588,3268,262,87,606,3738
LTU,1956,1,short,1,13,18,30,3,5,13,103,3,5,14,117
LTU,1956,1,short,1,14,297,504,28,54,231,1798,29,56,242,2057
LTU,1956,1,short,1,15,422,264,1909,5,0,0,1643,5,0,0
LTU,1956,1,short,1,16,1525,1782,556,1554,1688,2895,547,1576,1671,3312
LTU,1957,1,short,1,0,14359,22264,6142,3089,12425,72281,5428,3158,12843,82636
LTU,1957,1,short,1,1,1340,1717,995,540,1557,3941,887,563,1559,4504
LTU,1957,1,short,1,2,2136,3558,63,187,2247,12157,59,195,2323,13899
LTU,1957,1,short,1,3,66,94,30,17,80,256,29,17,82,293
LTU,1957,1,short,1,4,28,35,23,2,42,77,20,2,42,88
LTU,1957,1,short,1,5,17,20,1,8,35,26,0,8,35,30
LTU,1957,1,short,1,6,167,210,163,92,142,491,145,94,143,562
LTU,1957,1,short,1,7,2253,3955,34,185,1798,14598,36,191,1897,16690
LTU,1957,1,short,1,8,862,1513,0,28,755,5553,0,30,792,6349
LTU,1957,1,short,1,9,1638,3008,8,29,1044,11745,8,30,1130,13428
LTU,1957,1,short,1,10,1102,1509,1705,49,609,4679,1473,50,640,5349
LTU,1957,1,short,1,11,1644,2886,120,46,1332,10687,105,48,1407,12218
LTU,1957,1,short,1,12,593,911,332,69,537,2948,288,71,553,3371
LTU,1957,1,short,1,13,30,43,14,13,29,121,14,13,29,138
LTU,1957,1,short,1,14,312,522,16,83,252,1810,18,87,264,2069
LTU,1957,1,short,1,15,447,281,2009,13,0,0,1730,13,0,0
LTU,1957,1,short,1,16,1723,2003,629,1726,1965,3193,617,1743,1946,3650
LTU,1958,1,short,1,0,13274,20699,5830,2816,11458,66724,5151,2902,11858,76937
LTU,1958,1,short,1,1,1195,1544,845,505,1393,3517,747,532,1400,4054
LTU,1958,1,short,1,2,2120,3542,98,172,2255,11968,96,180,2328,13800
LTU,1958,1,short,1,3,44,68,29,15,28,218,27,15,29,252
