country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
LVA,1956,1,short,1,0,14466,23195,4319,2998,12137,78021,3877,3054,12583,89296
LVA,1956,1,short,1,1,1073,1420,511,528,1264,3376,461,543,1267,3863
LVA,1956,1,short,1,2,2578,4297,92,196,2735,14676,91,203,2818,16797
LVA,1956,1,short,1,3,46,70,17,11,48,212,18,12,49,242
LVA,1956,1,short,1,4,40,56,36,10,37,155,32,10,38,178
LVA,1956,1,short,1,5,41,51,15,28,56,92,14,29,56,105
LVA,1956,1,short,1,6,146,175,176,73,131,365,160,77,132,418
LVA,1956,1,short,1,7,4835,8682,60,208,3512,32958,64,214,3730,37721
LVA,1956,1,short,1,8,1382,2498,0,30,1011,9531,0,32,1076,10910
LVA,1956,1,short,1,9,624,1169,1,10,333,4674,1,10,366,5348
LVA,1956,1,short,1,10,409,469,979,17,173,1199,847,17,181,1372
LVA,1956,1,short,1,11,675,1154,105,22,582,4161,91,23,609,4762
LVA,1956,1,short,1,12,481,727,279,84,425,2305,242,88,439,2638
LVA,1956,1,short,1,13,67,106,9,18,67,342,8,18,69,392
LVA,1956,1,short,1,14,251,412,34,64,202,1418,32,65,210,1623
LVA,1956,1,short,1,15,316,199,1425,7,0,0,1229,7,0,0
LVA,1956,1,short,1,16,1500,1711,581,1690,1562,2555,588,1707,1546,2925
LVA,1957,1,short,1,0,14600,23427,4284,3111,11939,79529,3828,3183,12359,90705
LVA,1957,1,short,1,1,1025,1353,431,478,1302,3144,386,499,1305,3586
LVA,1957,1,short,1,2,2557,4253,138,252,2584,14651,136,263,2661,16710
LVA,1957,1,short,1,3,27,43,2,12,21,140,2,13,22,159
LVA,1957,1,short,1,4,48,66,33,13,52,178,29,13,52,203
LVA,1957,1,short,1,5,38,46,12,29,53,80,10,28,52,92
LVA,1957,1,short,1,6,108,123,160,43,96,244,144,44,95,278
LVA,1957,1,short,1,7,4911,8826,37,200,3483,33807,38,209,3690,38558
LVA,1957,1,short,1,8,1628,2953,0,42,1110,11432,0,45,1181,13041
LVA,1957,1,short,1,9,624,1169,0,22,303,4722,0,23,334,5385
LVA,1957,1,short,1,10,400,493,856,24,152,1409,740,25,160,1607
LVA,1957,1,short,1,11,624,1076,102,22,496,3960,88,23,519,4516
LVA,1957,1,short,1,12,420,612,276,69,416,1836,244,71,425,2094
LVA,1957,1,short,1,13,41,62,2,13,52,179,2,13,53,204
LVA,1957,1,short,1,14,218,369,21,42,163,1333,18,41,171,1520
LVA,1957,1,short,1,15,349,219,1577,6,0,0,1358,6,0,0
LVA,1957,1,short,1,16,1581,1765,636,1844,1658,2413,631,1867,1640,2752
LVA,1958,1,short,1,0,13965,22299,4179,3013,11686,75013,3739,3084,12131,85542
LVA,1958,1,short,1,1,875,1141,409,450,1062,2615,364,468,1063,2981
LVA,1958,1,short,1,2,2475,4049,132,240,2722,13550,127,248,2800,15451
LVA,1958,1,short,1,3,34,49,25,12,25,150,23,12,26,171
LVA,1958,1,short,1,4,48,61,53,8,56,143,47,8,57,163
LVA,1958,1,short,1,5,53,60,14,36,86,83,12,37,85,95
LVA,1958,1,short,1,6,97,118,146,42,56,291,132,42,57,333
LVA,1958,1,short,1,7,4603,8216,38,256,3377,31135,39,270,3589,35504
LVA,1958,1,short,1,8,1573,2829,3,24,1172,10806,4,25,1246,12324
LVA,1958,1,short,1,9,692,1284,4,18,385,5108,4,19,423,5824
LVA,1958,1,short,1,10,349,403,842,24,122,1060,727,24,129,1209
LVA,1958,1,short,1,11,604,1042,92,27,477,3830,80,28,504,4368
LVA,1958,1,short,1,12,465,698,283,66,430,2198,251,68,442,2506
LVA,1958,1,short,1,13,43,61,20,19,42,170,18,19,43,194
LVA,1958,1,short,1,14,266,453,22,54,196,1633,21,57,206,1863
LVA,1958,1,short,1,15,322,206,1417,18,8,13,1220,18,8,14
LVA,1958,1,short,1,16,1465,1628,679,1718,1467,2230,670,1738,1451,2543
LVA,1959,1,short,1,0,15189,25354,4135,3076,12090,84851,3706,3146,12560,100399
LVA,1959,1,short,1,1,957,1314,392,495,1096,3153,352,523,1100,3730
LVA,1959,1,short,1,2,2520,4342,101,201,2547,14662,98,207,2626,17348
LVA,1959,1,short,1,3,39,60,25,6,36,184,21,6,37,218
LVA,1959,1,short,1,4,43,59,44,4,46,156,40,4,46,184
LVA,1959,1,short,1,5,53,66,13,42,72,115,11,43,72,136
LVA,1959,1,short,1,6,109,131,171,59,59,289,154,62,61,342
LVA,1959,1,short,1,7,5255,9757,23,207,3722,36246,24,216,3949,42888
LVA,1959,1,short,1,8,1525,2843,11,57,1048,10610,10,61,1118,12556
LVA,1959,1,short,1,9,831,1603,4,19,428,6239,4,19,470,7381
LVA,1959,1,short,1,10,510,678,906,42,253,1951,787,43,264,2309
LVA,1959,1,short,1,11,673,1214,67,28,518,4389,58,29,546,5194
LVA,1959,1,short,1,12,512,781,376,55,456,2404,328,55,467,2844
LVA,1959,1,short,1,13,49,78,3,19,46,241,2,20,48,285
LVA,1959,1,short,1,14,263,458,17,59,200,1590,17,60,209,1881
LVA,1959,1,short,1,15,308,196,1379,9,1,13,1192,8,1,15
LVA,1959,1,short,1,16,1541,1773,605,1774,1562,2611,606,1791,1549,3089
LVA,1960,1,short,1,0,13856,22349,3537,2915,11558,75990,3154,2981,12025,86623
LVA,1960,1,short,1,1,725,955,246,340,983,2157,221,357,984,2459
LVA,1960,1,short,1,2,2411,3993,108,207,2556,13605,105,214,2642,15509
LVA,1960,1,short,1,3,25,37,17,7,19,116,14,7,19,133
LVA,1960,1,short,1,4,29,43,25,6,21,137,21,6,22,157
LVA,1960,1,short,1,5,48,61,15,31,62,129,13,32,62,147
LVA,1960,1,short,1,6,94,103,131,60,81,167,121,60,82,191
LVA,1960,1,short,1,7,5021,8955,43,242,3733,33926,46,254,3964,38673
LVA,1960,1,short,1,8,1632,2931,3,51,1200,11179,3,54,1278,12745
LVA,1960,1,short,1,9,652,1209,9,21,350,4824,9,22,385,5498
LVA,1960,1,short,1,10,326,364,796,31,129,897,688,31,134,1023
LVA,1960,1,short,1,11,507,886,59,18,393,3295,52,19,415,3756
LVA,1960,1,short,1,12,424,613,291,58,441,1811,252,62,450,2064
LVA,1960,1,short,1,13,38,57,8,14,37,173,8,14,38,197
LVA,1960,1,short,1,14,173,298,17,31,120,1095,16,32,127,1248
LVA,1960,1,short,1,15,286,187,1236,15,16,33,1064,14,16,38
LVA,1960,1,short,1,16,1463,1657,532,1783,1417,2443,522,1803,1407,2785
LVA,1961,1,short,1,0,13926,22593,3309,3030,11598,76602,2955,3097,12030,87845
LVA,1961,1,short,1,1,688,944,208,346,825,2342,185,364,829,2685
LVA,1961,1,short,1,2,2495,4148,81,211,2676,14062,81,220,2753,16126
LVA,1961,1,short,1,3,32,46,38,4,19,144,33,4,20,165
LVA,1961,1,short,1,4,31,43,24,4,33,123,20,4,34,141
LVA,1961,1,short,1,5,53,70,15,42,56,158,13,45,57,181
LVA,1961,1,short,1,6,106,120,131,56,105,213,118,57,106,244
LVA,1961,1,short,1,7,4942,8901,22,203,3594,33785,22,212,3813,38743
LVA,1961,1,short,1,8,1654,3008,0,43,1155,11541,0,45,1232,13237
LVA,1961,1,short,1,9,606,1130,4,16,329,4491,4,17,360,5149
LVA,1961,1,short,1,10,271,316,660,12,93,834,582,13,98,957
LVA,1961,1,short,1,11,497,866,41,22,411,3167,35,23,432,3632
LVA,1961,1,short,1,12,381,575,233,69,329,1820,204,72,339,2087
LVA,1961,1,short,1,13,30,35,2,18,52,55,2,18,51,63
LVA,1961,1,short,1,14,224,379,25,41,174,1347,23,43,181,1545
LVA,1961,1,short,1,15,290,184,1302,8,0,11,1120,7,1,12
LVA,1961,1,short,1,16,1627,1827,523,1933,1747,2510,513,1951,1727,2878
LVA,1962,1,short,1,0,14721,24067,3330,3076,12158,82005,2960,3155,12639,94263
LVA,1962,1,short,1,1,728,912,227,356,1050,1974,200,376,1072,2075
LVA,1962,1,short,1,2,2452,3810,91,218,3056,12520,88,227,3201,13609
LVA,1962,1,short,1,3,51,74,27,12,54,220,25,11,56,243
LVA,1962,1,short,1,4,28,37,19,1,33,111,18,1,36,113
LVA,1962,1,short,1,5,29,32,14,17,45,48,12,17,45,51
LVA,1962,1,short,1,6,95,95,125,50,111,127,111,50,113,122
LVA,1962,1,short,1,7,5320,9921,25,229,3280,38045,26,239,3461,44529
