country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
MDA,1965,1,short,1,0,14067,23401,5276,2143,10045,81293,4641,2207,10445,94744
MDA,1965,1,short,1,1,784,788,1132,284,980,1110,983,300,1001,1037
MDA,1965,1,short,1,2,1666,2434,70,178,2234,7941,69,181,2344,8112
MDA,1965,1,short,1,3,10,9,17,10,9,0,17,10,9,0
MDA,1965,1,short,1,4,64,89,33,12,56,316,30,12,56,316
MDA,1965,1,short,1,5,81,92,56,20,141,151,49,22,141,156
MDA,1965,1,short,1,6,111,131,130,56,106,259,116,56,108,301
MDA,1965,1,short,1,7,4531,8884,97,214,1995,34508,91,223,2107,41510
MDA,1965,1,short,1,8,2895,5777,0,49,1144,22840,0,53,1232,27422
MDA,1965,1,short,1,9,91,183,1,4,28,731,1,5,30,880
MDA,1965,1,short,1,10,599,531,1926,33,242,790,1662,33,251,877
MDA,1965,1,short,1,11,1114,2006,62,31,828,7497,55,34,877,8683
MDA,1965,1,short,1,12,608,857,68,114,845,2565,62,121,861,2672
MDA,1965,1,short,1,13,36,46,28,13,33,140,27,13,33,136
MDA,1965,1,short,1,14,141,222,11,53,127,721,11,55,127,826
MDA,1965,1,short,1,15,246,157,1099,5,3,14,948,5,3,11
MDA,1965,1,short,1,16,1090,1196,546,1067,1275,1711,521,1084,1267,1807
MDA,1966,1,short,1,0,13964,22826,5052,2295,10804,78112,4470,2349,11208,90399
MDA,1966,1,short,1,1,859,908,1095,268,1113,1531,952,279,1131,1490
MDA,1966,1,short,1,2,1507,2110,106,159,2187,6621,106,164,2287,6543
MDA,1966,1,short,1,3,11,11,14,5,9,29,14,5,8,25
MDA,1966,1,short,1,4,70,106,29,17,48,385,25,17,50,410
MDA,1966,1,short,1,5,63,74,33,20,108,127,33,21,108,132
MDA,1966,1,short,1,6,99,113,115,51,103,210,103,50,102,237
MDA,1966,1,short,1,7,4338,8401,62,175,2177,32416,57,182,2297,38799
MDA,1966,1,short,1,8,2914,5800,0,19,1117,23181,0,21,1200,27646
MDA,1966,1,short,1,9,78,156,0,3,24,633,0,3,26,751
MDA,1966,1,short,1,10,546,491,1652,47,268,732,1424,49,273,800
MDA,1966,1,short,1,11,1026,1795,61,45,845,6608,54,48,890,7558
MDA,1966,1,short,1,12,611,834,81,141,957,2159,72,152,981,2289
MDA,1966,1,short,1,13,46,62,25,12,50,184,24,11,50,195
MDA,1966,1,short,1,14,174,290,5,59,114,1058,4,61,114,1192
