country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
ROU,1980,1,short,1,0,14655,24590,3677,1906,11748,85634,3262,1968,12171,99388
ROU,1980,1,short,1,1,132,132,204,45,167,168,178,47,170,166
ROU,1980,1,short,1,2,1894,2715,96,183,2682,8642,95,191,2788,8750
ROU,1980,1,short,1,3,8,9,13,2,6,21,12,2,6,23
ROU,1980,1,short,1,4,66,91,15,12,84,287,13,13,87,288
ROU,1980,1,short,1,5,54,59,0,26,120,58,0,28,119,54
ROU,1980,1,short,1,6,112,105,201,67,99,113,182,67,99,113
ROU,1980,1,short,1,7,4773,8869,23,209,3203,33360,21,224,3342,39365
ROU,1980,1,short,1,8,2526,4792,8,65,1427,18593,8,69,1507,21870
ROU,1980,1,short,1,9,782,1710,2,9,160,6613,2,9,168,8462
ROU,1980,1,short,1,10,822,1209,1077,82,419,3838,937,85,433,4550
ROU,1980,1,short,1,11,1164,2182,72,33,661,8416,64,35,694,9890
ROU,1980,1,short,1,12,669,871,157,127,1075,2233,137,134,1107,2238
ROU,1980,1,short,1,13,11,12,14,3,12,27,12,4,12,27
ROU,1980,1,short,1,14,274,484,12,37,204,1760,12,38,210,2048
ROU,1980,1,short,1,15,289,184,1284,12,7,5,1107,12,7,6
ROU,1980,1,short,1,16,1079,1167,500,995,1424,1499,481,1009,1422,1539
ROU,1981,1,short,1,0,14188,23575,3646,2012,11657,81379,3240,2074,12061,94224
ROU,1981,1,short,1,1,133,129,209,50,169,144,184,52,170,137
ROU,1981,1,short,1,2,1790,2532,106,191,2604,7878,104,200,2705,7935
ROU,1981,1,short,1,3,8,9,13,3,8,15,12,3,8,15
ROU,1981,1,short,1,4,68,95,11,11,85,310,10,11,88,312
ROU,1981,1,short,1,5,56,61,0,31,125,46,0,33,124,45
ROU,1981,1,short,1,6,106,98,193,60,99,96,175,60,99,96
ROU,1981,1,short,1,7,4555,8414,22,205,3186,31446,20,219,3322,37077
ROU,1981,1,short,1,8,2409,4538,3,69,1372,17686,3,73,1445,20669
ROU,1981,1,short,1,9,743,1630,1,9,130,6349,1,10,137,8107
ROU,1981,1,short,1,10,788,1126,1094,86,424,3469,954,88,438,4100
ROU,1981,1,short,1,11,1104,2066,68,38,640,7917,61,40,672,9325
ROU,1981,1,short,1,12,702,929,140,121,1100,2520,123,127,1133,2516
ROU,1981,1,short,1,13,11,13,13,7,10,26,11,7,10,28
ROU,1981,1,short,1,14,283,510,14,38,195,1860,13,39,200,2197
ROU,1981,1,short,1,15,275,174,1217,14,6,2,1049,14,6,2
ROU,1981,1,short,1,16,1157,1251,543,1079,1505,1615,520,1097,1504,1663
ROU,1982,1,short,1,0,13903,23075,3510,1960,11512,79644,3123,2017,11920,92083
ROU,1982,1,short,1,1,149,151,238,53,176,198,209,55,178,207
ROU,1982,1,short,1,2,1785,2507,93,211,2663,7625,92,221,2766,7678
ROU,1982,1,short,1,3,12,15,17,5,7,39,16,5,7,46
ROU,1982,1,short,1,4,66,94,11,16,74,313,9,16,77,317
ROU,1982,1,short,1,5,48,53,0,23,107,52,0,24,107,52
ROU,1982,1,short,1,6,110,105,200,62,101,112,183,62,102,114
