country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
RUS,1965,1,short,1,0,15635,24616,3924,3306,14492,81611,3487,3409,15025,92145
RUS,1965,1,short,1,1,722,862,237,254,1222,1731,211,268,1250,1673
RUS,1965,1,short,1,2,3043,4348,101,246,4329,14085,99,259,4530,14023
RUS,1965,1,short,1,3,14,17,15,6,14,41,13,6,14,42
RUS,1965,1,short,1,4,25,34,11,8,30,98,10,8,31,99
RUS,1965,1,short,1,5,44,58,7,25,56,140,7,26,57,151
RUS,1965,1,short,1,6,117,146,72,69,127,332,68,69,128,363
RUS,1965,1,short,1,7,4267,7861,17,241,2940,29440,18,254,3080,34604
RUS,1965,1,short,1,8,2281,4281,2,46,1320,16745,2,49,1404,19462
RUS,1965,1,short,1,9,746,1529,1,16,282,5904,1,18,298,7301
RUS,1965,1,short,1,10,531,646,948,38,361,1762,821,39,375,1933
RUS,1965,1,short,1,11,994,1719,16,41,829,6458,14,44,876,7232
RUS,1965,1,short,1,12,428,596,195,92,499,1759,170,96,512,1883
RUS,1965,1,short,1,13,25,33,12,10,30,83,11,10,31,92
RUS,1965,1,short,1,14,185,308,12,50,152,1061,11,51,157,1222
RUS,1965,1,short,1,15,391,248,1754,8,3,13,1511,7,3,15
RUS,1965,1,short,1,16,1823,1931,526,2158,2300,1961,519,2206,2282,2050
RUS,1966,1,short,1,0,15668,24616,3832,3412,14588,81473,3412,3523,15110,91878
RUS,1966,1,short,1,1,679,814,224,231,1132,1698,199,244,1156,1638
RUS,1966,1,short,1,2,3008,4316,101,249,4217,14086,99,262,4411,14057
RUS,1966,1,short,1,3,16,22,15,7,14,57,13,7,15,65
RUS,1966,1,short,1,4,23,29,11,8,31,73,10,8,32,74
RUS,1966,1,short,1,5,45,59,8,27,61,128,8,29,61,148
RUS,1966,1,short,1,6,100,120,71,57,114,250,66,58,115,272
RUS,1966,1,short,1,7,4306,7884,15,252,3078,29356,16,267,3222,34459
RUS,1966,1,short,1,8,2366,4455,2,54,1346,17424,2,57,1429,20299
RUS,1966,1,short,1,9,628,1285,1,14,235,4980,1,14,248,6138
RUS,1966,1,short,1,10,472,564,855,34,330,1517,740,35,343,1638
RUS,1966,1,short,1,11,1017,1757,19,43,839,6630,17,45,885,7404
RUS,1966,1,short,1,12,441,614,186,88,530,1812,163,93,546,1929
RUS,1966,1,short,1,13,23,30,10,9,29,76,10,9,30,82
RUS,1966,1,short,1,14,198,338,13,48,144,1202,13,49,148,1389
RUS,1966,1,short,1,15,385,245,1725,9,3,14,1486,9,3,17
RUS,1966,1,short,1,16,1959,2083,575,2283,2484,2169,566,2337,2465,2270
RUS,1967,1,short,1,0,16027,25212,3731,3499,14986,83507,3318,3615,15510,94179
RUS,1967,1,short,1,1,676,818,205,220,1123,1774,182,232,1147,1706
RUS,1967,1,short,1,2,2972,4244,104,246,4206,13794,102,259,4396,13716
RUS,1967,1,short,1,3,14,17,13,7,16,37,12,7,16,37
RUS,1967,1,short,1,4,23,29,10,8,29,77,9,8,30,78
RUS,1967,1,short,1,5,42,50,8,31,64,84,8,32,64,89
RUS,1967,1,short,1,6,97,115,70,62,108,227,66,62,109,250
RUS,1967,1,short,1,7,4445,8141,17,256,3179,30309,18,272,3323,35593
RUS,1967,1,short,1,8,2443,4595,2,53,1398,17966,2,57,1484,20922
RUS,1967,1,short,1,9,471,958,0,13,185,3707,0,14,195,4554
RUS,1967,1,short,1,10,546,684,900,45,372,1938,780,46,387,2131
RUS,1967,1,short,1,11,1239,2204,22,46,909,8425,20,49,960,9557
RUS,1967,1,short,1,12,426,591,167,89,532,1711,146,93,546,1823
RUS,1967,1,short,1,13,23,30,9,10,29,77,9,10,29,80
RUS,1967,1,short,1,14,200,342,11,47,150,1213,11,48,154,1402
RUS,1967,1,short,1,15,372,236,1668,8,2,11,1438,8,2,13
RUS,1967,1,short,1,16,2037,2160,524,2359,2684,2157,516,2418,2666,2228
RUS,1968,1,short,1,0,16128,25193,3714,3654,15377,82831,3299,3777,15894,93179
RUS,1968,1,short,1,1,607,731,193,185,1020,1576,171,196,1044,1506
RUS,1968,1,short,1,2,2904,4128,104,248,4169,13277,102,262,4354,13190
RUS,1968,1,short,1,3,13,15,15,6,14,30,14,6,15,30
RUS,1968,1,short,1,4,24,31,10,7,31,84,9,7,32,84
RUS,1968,1,short,1,5,49,56,8,36,81,75,9,38,81,80
RUS,1968,1,short,1,6,93,108,71,60,105,209,67,61,106,222
RUS,1968,1,short,1,7,4512,8177,16,285,3376,30262,17,303,3524,35383
RUS,1968,1,short,1,8,2524,4737,1,58,1445,18556,1,62,1533,21557
RUS,1968,1,short,1,9,389,775,0,13,179,2978,0,13,188,3631
RUS,1968,1,short,1,10,526,638,914,44,371,1733,791,46,385,1885
RUS,1968,1,short,1,11,1271,2271,23,46,925,8673,21,49,977,9874
RUS,1968,1,short,1,12,440,612,161,93,539,1812,141,98,553,1917
RUS,1968,1,short,1,13,21,27,10,9,26,66,10,9,27,70
RUS,1968,1,short,1,14,198,333,13,46,155,1177,13,47,159,1349
RUS,1968,1,short,1,15,368,233,1652,10,2,9,1424,9,2,10
RUS,1968,1,short,1,16,2187,2320,520,2507,2940,2314,509,2570,2914,2390
RUS,1969,1,short,1,0,16955,26545,3701,3874,16147,87432,3289,4008,16678,98406
RUS,1969,1,short,1,1,590,716,180,182,980,1573,160,193,1003,1512
RUS,1969,1,short,1,2,2915,4134,102,250,4198,13291,100,263,4381,13175
RUS,1969,1,short,1,3,15,17,15,6,16,35,14,6,17,37
RUS,1969,1,short,1,4,26,35,9,8,34,96,8,9,36,96
RUS,1969,1,short,1,5,56,63,11,39,94,86,11,41,93,91
RUS,1969,1,short,1,6,101,122,68,64,112,254,63,65,112,277
