country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
USA,1999,1,short,4,0,9305,16182,825,1431,7351,57001,740,1461,7638,66935
USA,1999,1,short,4,1,251,368,22,100,316,995,20,107,316,1157
USA,1999,1,short,4,2,2341,3922,31,110,2223,14403,31,115,2342,15880
USA,1999,1,short,4,3,31,52,6,9,24,170,5,9,24,206
USA,1999,1,short,4,4,326,560,12,29,295,1994,11,30,308,2285
USA,1999,1,short,4,5,137,255,1,27,115,826,1,28,116,1064
USA,1999,1,short,4,6,268,526,26,29,121,1940,24,29,125,2418
USA,1999,1,short,4,7,2907,5396,19,115,2144,19787,18,122,2241,23613
USA,1999,1,short,4,8,517,1033,4,16,255,3896,4,17,267,4807
USA,1999,1,short,4,9,169,325,1,7,93,1239,1,8,98,1486
USA,1999,1,short,4,10,234,495,14,11,79,1840,12,11,82,2369
USA,1999,1,short,4,11,656,1263,14,16,303,5001,13,17,324,5881
USA,1999,1,short,4,12,335,525,16,35,441,1621,14,38,450,1849
USA,1999,1,short,4,13,41,75,1,5,30,270,1,5,31,325
USA,1999,1,short,4,14,187,374,5,7,89,1409,5,8,93,1740
USA,1999,1,short,4,15,124,87,494,13,20,37,426,13,20,41
USA,1999,1,short,4,16,781,926,158,903,803,1573,153,903,799,1815
USA,2000,1,short,4,0,9152,15915,809,1428,7277,55866,724,1458,7553,65726
USA,2000,1,short,4,1,242,355,18,93,318,947,16,99,318,1101
USA,2000,1,short,4,2,2303,3866,33,108,2167,14230,32,113,2281,15702
USA,2000,1,short,4,3,30,52,5,7,26,169,4,8,26,203
USA,2000,1,short,4,4,329,562,13,31,300,1992,12,33,313,2281
USA,2000,1,short,4,5,143,269,1,27,113,880,1,29,114,1137
USA,2000,1,short,4,6,280,553,24,28,129,2037,23,28,133,2543
USA,2000,1,short,4,7,2807,5218,19,109,2090,19055,18,116,2184,22809
USA,2000,1,short,4,8,510,1016,5,16,260,3819,4,17,273,4709
USA,2000,1,short,4,9,170,324,1,8,96,1235,1,8,101,1475
